0,1,2,3,4,5,6,7,8,9,10
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,SERIE B 2017
,III-CEREALES D'HIVER (1/3),,,,,,,,,
WILAYA,,,BLE DUR,,,,,BLE TENDRE,,
,Superficie,,Taux de,Prod.,Rdt,Superficie,,Taux de,Prod.,Rdt
,Emblavée,récoltée,Récolte,,,Emblavé,récoltée,Récolte,,
,,,,,,e,,,,
,(ha),(ha),%,(qx),(qx/ha),(ha),(ha),%,(qx),(qx/ha)
1 ADRAR,5 907,5 732,"97,0",224 035,"39,1",3 748,3 748,"100,0",103 313,"27,6"
2 CHLEF,65 995,64 180,"97,2",1 113 678,"17,4",6 917,6 586,"95,2",110 456,"16,8"
3 LAGHOUAT,7 937,6 167,"77,7",115 937,"18,8",143,143,"100,0",5 005,"35,0"
4 O.E.BOUAGHI,60 987,11 257,"18,5",148 000,"13,1",46 786,5 271,"11,3",60 000,"11,4"
5 BATNA,56 000,13 402,"23,9",147 941,"11,0",9 000,2 069,"23,0",19 653,"9,5"
6 BEJAIA,5 306,5 306,"100,0",79 324,"14,9",17,17,"100,0",600,"35,3"
7 BISKRA,12 450,12 450,"100,0",505 121,"40,6",5 140,5 140,"100,0",176 635,"34,4"
8 BECHAR,273,270,"98,9",8 100,"30,0",3,3,"100,0",120,"40,0"
9 BLIDA,6 841,6 841,"100,0",180 839,"26,4",1 295,1 287,"99,4",30 019,"23,3"
10 BOUIRA,39 194,39 164,"99,9",1 096 578,"28,0",8 373,8 373,"100,0",251 190,"30,0"
11 TAMANRASSET,515,486,"94,3",2 661,"5,5",160,111,"69,4",1 962,"17,7"
12 TEBESSA,87 000,38 000,"43,7",379 393,"10,0",7 000,2 400,"34,3",16 530,"6,9"
13 TLEMCEN,51 150,51 072,"99,8",612 850,"12,0",30 350,29 835,"98,3",179 000,"6,0"
14 TIARET,135 000,121 667,"90,1",1 904 000,"15,6",65 000,48 000,"73,8",500 000,"10,4"
15 TIZI-OUZOU,6 235,6 174,"99,0",158 851,"25,7",52,52,"100,0",1 532,"29,5"
16 ALGER,1 844,1 824,"98,9",51 969,"28,5",77,77,"100,0",2 456,"32,0"
17 DJELFA,18 000,3 400,"18,9",84 700,"24,9",400,140,"35,0",1 400,"10,0"
18 JIJEL,625,625,"100,0",15 553,"24,9",0,0,"0,0",0,"0,0"
19 SETIF,122 954,70 292,"57,2",660 500,"9,4",18 544,4 000,"21,6",26 730,"6,7"
20 SAIDA,27 582,22 944,"83,2",283 057,"12,3",42 613,35 125,"82,4",322 979,"9,2"
21 SKIKDA,26 239,25 960,"98,9",570 548,"22,0",3 604,3 604,"100,0",68 476,"19,0"
22 S.B.ABBES,48 360,46 037,"95,2",523 524,"11,4",45 240,40 485,"89,5",342 435,"8,5"
23 ANNABA,12 355,12 353,"100,0",409 622,"33,2",923,915,"99,1",35 130,"38,4"
24 GUELMA,63 037,59 964,"95,1",1 077 332,"18,0",11 780,10 823,"91,9",196 195,"18,1"
25 CONSTANTINE,52 380,50 550,"96,5",763 978,"15,1",20 462,19 787,"96,7",253 540,"12,8"
26 MEDEA,70 207,60 131,"85,6",990 477,"16,5",9 376,7 579,"80,8",126 405,"16,7"
27 MOSTAGANEM,5 300,5 265,"99,3",88 212,"16,8",15 000,14 611,"97,4",243 364,"16,7"
28 M'SILA,16 215,7 470,"46,1",171 300,"22,9",1 618,1 010,"62,4",21 100,"20,9"
29 MASCARA,30 200,17 165,"56,8",178 000,"10,4",42 900,29 645,"69,1",298 700,"10,1"
