0,1,2,3,4,5,6
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,SERIE B 2017
VII-CULTURES MARAICHERES SOUS SERRES (4/4),,,,,,
,,AUTRES LEGUMES,,,TOTAL,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,"0,05",5,"100,0","95,00",54 608,"574,8"
2 CHLEF,"0,00",0,0,"541,78",376 023,"694,1"
3 LAGHOUAT,,,0,"0,00",0,0
4 O.E.BOUAGHI,"0,00",0,0,"0,00",0,0
5 BATNA,"0,40","140,00","350,0","7,08",9 543,"1 347,9"
6 BEJAIA,"5,12",94,"18,4","76,16",30 519,"400,7"
7 BISKRA,"0,00",0,0,"5 944,00",5 950 900,"1 001,2"
8 BECHAR,"0,08",20,"250,0","1,88",1 345,"715,4"
9 BLIDA,"20,54","6 004,00","292,3","275,00",153 753,"559,1"
10 BOUIRA,,,0,"0,00",0,0
11 TAMANRASSET,"1,64",292,"178,2","13,29",4 194,"315,5"
12 TEBESSA,"0,08",14,"175,0","2,56",884,"345,3"
13 TLEMCEN,"0,00","0,00",0,"215,00",178 600,"830,7"
14 TIARET,"0,00",0,0,"0,00",0,0
15 TIZI-OUZOU,"0,00",0,0,"15,76",10 421,"661,3"
16 ALGER,"53,38",10 140,"190,0","457,81",282 160,"616,3"
17 DJELFA,"26,25","7 760,00","295,6","38,75",12 370,"319,2"
18 JIJEL,"421,64",130 796,"310,2","1 133,84",771 527,"680,5"
19 SETIF,"12,00",2 075,"172,9","451,30",469 976,"1 041,4"
20 SAIDA,"0,00",0,0,"0,00",0,0
21 SKIKDA,"6,00","2 200,00","366,7","31,44",13 939,"443,4"
22 S.B.ABBES,"0,00",0,0,"0,00",0,0
23 ANNABA,"1,70",0,"0,0","1,73",0,"0,0"
24 GUELMA,,,0,"0,00",0,0
25 CONSTANTINE,"0,00","0,00",0,"0,56",700,"1 250,0"
26 MEDEA,,,0,"0,00",0,0
27 MOSTAGANEM,"0,00",0,0,"915,35",549 693,"600,5"
28 M'SILA,,,0,"243,00",185 300,"762,6"
29 MASCARA,,,0,"6,24",5 000,"801,3"
30 OUARGLA,"43,37",7 844,"180,9","1 531,27",567 516,"370,6"
31 ORAN,,,0,"33,99",27 476,"808,4"
32 EL-BAYADH,,,0,"0,00",0,0
33 ILLIZI,"0,12","25,58","213,2","4,65",1 269,"272,8"
34 B.B.ARRERIDJ,"0,00",0,0,"0,65",216,"332,3"
35 BOUMERDES,"8,00",2 220,"277,5","577,00",347 095,"601,6"
36 EL-TARF,"1,37",921,"672,3","3,80",4 038,"1 062,6"
37 TINDOUF,"0,64","164,00","256,3","8,18",5 528,"675,8"
38 TISSEMSILT,,,0,"0,00",0,0
39 EL-OUED,,,0,"524,00",349 804,"667,6"
40 KHENCHELA,"0,00",0,0,"143,75",123 212,"857,1"
41 SOUK-AHRAS,"0,00","0,00",0,"0,00",0,0
42 TIPAZA,"348,42",70 883,"203,4","2 049,05",1 201 597,"586,4"
43 MILA,"0,12",6,"50,0","8,44",5 694,"674,6"
44 AIN-DEFLA,"0,00",0,0,"375,59",305 800,"814,2"
45 NAAMA,,,0,"0,00",0,0
46 A.TEMOUCHENT,"0,00",0,0,"79,46",47 357,"596,0"
47 GHARDAIA,"0,50",140,"280,0","8,52",3 408,"400,0"
48 RELIZANE,"0,00",0,0,"11,00",5 400,"490,9"
TOTAL ALGERIE,"951,42",241 744,"254,1","15 826,88",12 056 865,"761,8"
