0,1,2,3,4,5,6,7,8,9
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,SERIE B 2017
X,IV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (1/7),,,,,,,,
,,Abricots,,,,,Amandes,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production (Qx),,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,Fraîche,Sèche,qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,0,"0,0"
2 CHLEF,193,183,8 711,"47,7",842,774,3 465,7 308,"13,9"
3 LAGHOUAT,1 290,1 290,74 820,"58,0",156,156,3 780,0,"24,2"
4 O.E.BOUAGHI,152,139,1 048,"7,5",104,82,546,0,"6,7"
5 BATNA,4 330,4 257,219 233,"51,5",229,142,1 896,1 343,"22,7"
6 BEJAIA,477,466,18 499,"39,7",467,465,1 518,3 785,"11,4"
7 BISKRA,1 644,1 520,65 514,"43,1",2,0,0,0,"0,0"
8 BECHAR,212,185,16 780,"90,7",7,5,89,0,"0,0"
9 BLIDA,986,986,152 087,"154,2",128,125,2 270,5 980,"66,0"
10 BOUIRA,419,345,7 609,"22,1",1 544,1 305,2 955,7 524,"8,0"
11 TAMANRASSET,98,80,5 620,"70,5",0,0,0,0,"0,0"
12 TEBESSA,1 028,980,22 540,"23,0",461,440,10 560,0,"24,0"
13 TLEMCEN,1 432,1 200,120 000,"100,0",9 544,8 559,0,85 590,"10,0"
14 TIARET,2 492,795,19 000,"23,9",3 094,805,0,16 100,"20,0"
15 TIZI-OUZOU,148,140,19 600,"140,0",153,141,1 096,644,"12,3"
16 ALGER,542,527,45 000,"85,4",16,16,225,0,"13,8"
17 DJELFA,2 112,2 100,149 520,"71,2",380,235,13 180,0,"0,0"
18 JIJEL,162,157,11 834,"75,3",185,127,0,2 787,"21,9"
19 SETIF,818,812,27 295,"33,6",3 714,2 159,1 610,22 630,"11,2"
20 SAIDA,124,124,3 753,"30,3",673,473,0,10 368,"21,9"
21 SKIKDA,690,645,79 557,"123,4",273,252,9 605,988,"42,1"
22 S.B.ABBES,222,189,13 000,"68,8",3 132,2 660,29 401,0,"11,1"
23 ANNABA,60,49,6 288,"128,3",4,4,60,0,"15,0"
24 GUELMA,131,122,17 273,"141,3",834,776,11 968,11 672,"30,5"
25 CONSTANTINE,174,173,15 799,"91,2",149,142,0,3 008,"21,2"
26 MEDEA,1 395,1 078,32 407,"30,1",5 884,4 745,0,97 610,"20,6"
27 MOSTAGANEM,1 687,1 671,165 613,"99,1",487,368,8 207,0,"22,3"
28 M'SILA,7 928,6 703,520 450,"77,6",0,0,0,0,"0,0"
29 MASCARA,187,180,8 800,"49,0",1 389,1 170,0,20 300,"17,4"
30 OUARGLA,116,104,4 735,"45,5",0,0,0,0,"0,0"
31 ORAN,617,453,19 201,"42,4",612,284,1 957,506,"8,7"
32 EL-BAYADH,355,340,15 135,"44,5",162,146,0,3 385,"23,2"
33 ILLIZI,34,17,537,"32,6",0,0,0,0,"0,0"
34 B.B.ARRERIDJ,811,694,21 274,"30,7",696,613,2 375,1 491,"6,3"
35 BOUMERDES,297,269,31 115,"115,6",27,27,229,0,"8,6"
36 EL-TARF,240,200,14 100,"70,5",37,18,90,0,"5,0"
37 TINDOUF,0,0,0,"0,0",0,0,0,0,"0,0"
38 TISSEMSILT,598,598,14 950,"25,0",4 140,2 552,0,28 045,"11,0"
39 EL-OUED,209,203,12 180,"60,0",0,0,0,0,"0,0"
40 KHENCHELA,2 641,2 150,80 250,"37,3",245,190,2 018,0,"10,6"
41 SOUK-AHRAS,388,262,5 169,"19,7",456,435,4 995,4 991,"23,0"
42 TIPAZA,1 238,1 198,143 412,"119,8",1 175,1 154,21 985,13 030,"30,3"
43 MILA,228,220,11 743,"53,4",675,665,0,28 770,"43,3"
44 AIN-DEFLA,984,942,37 266,"39,6",4 549,2 786,6 781,47 969,"19,7"
45 NAAMA,859,329,15 694,"47,7",150,78,0,394,"5,1"
46 A.TEMOUCHENT,506,506,20 750,"41,0",2 318,2 306,0,23 060,"10,0"
47 GHARDAIA,170,140,11 060,"79,0",126,0,0,0,"0,0"
48 RELIZANE,681,678,75 100,"110,8",887,883,1 425,25 779,"30,8"
TOTAL ALGERIE,42 100,36 395,2 381 319,"65,4",50 100,38 260,144 284,475 056,"16,2"
