0,1,2,3,4,5,6,7
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,SERIE B 2019
VII- ENSEMBLE DES CULTURES MARAÎCHERES (7/7),,,,,,,
(Y compris de primeur et sous serres),,,,,,,
,,AUTRES LEGUMES,,,TOTAUX,,
WILAYA,Superficie,Production,Rdt,Sup.  Plantée,Sup.  réelle,Production,Rdt
,(ha),(QX),qx/ha,(ha),(ha),(qx),qx/ha
1 ADRAR,815,79 433,"97,4",5 186,5 170,695 362,"134,1"
2 CHLEF,504,195 000,"386,9",9 355,9 215,3 450 608,"368,9"
3 LAGHOUAT,1 160,93 685,"80,8",10 900,0,2 468 131,"226,4"
4 O.E.BOUAGHI,12,1 650,"137,5",2 700,2 700,854 000,"316,3"
5 BATNA,1 183,170 110,"143,9",7 636,7 440,1 479 590,"193,8"
6 BEJAIA,607,94 171,"155,3",3 762,3 264,558 830,"148,6"
7 BISKRA,1 311,217 758,"166,1",23 836,23 782,10 797 289,"453,0"
8 BECHAR,728,141 137,"193,8",3 363,2 690,557 421,"165,8"
9 BLIDA,2 037,340 688,"167,2",6 370,6 370,1 558 123,"244,6"
10 BOUIRA,506,126 990,"251,2",9 281,7 462,2 591 919,"279,3"
11 TAMANRASSET,223,32 891,"147,4",1 915,1 895,360 457,"188,2"
12 TEBESSA,50,4 180,"83,6",4 661,4 757,1 821 690,"390,8"
13 TLEMCEN,1 333,344 223,"258,2",25 371,23 146,6 383 123,"251,6"
14 TIARET,307,83 290,"271,3",14 126,0,5 569 892,"394,3"
15 TIZI-OUZOU,177,22 615,"127,8",6 056,5 890,1 169 000,"193,0"
16 ALGER,3 712,605 570,"163,2",12 368,8 134,3 063 300,"247,7"
17 DJELFA,443,49 300,"111,3",9 678,9 678,2 563 420,"264,9"
18 JIJEL,1 272,282 008,"221,7",8 079,6 777,2 593 304,"321,0"
19 SETIF,1 810,257 359,"142,2",7 853,7 853,2 017 523,"256,9"
20 SAIDA,794,263 637,"332,0",10 555,8 355,3 572 730,"338,5"
21 SKIKDA,1 477,179 155,"121,3",24 406,22 761,5 411 400,"221,7"
22 S.B.ABBES,260,39 030,"150,1",8 996,7 184,2 346 987,"260,9"
23 ANNABA,1 509,238 701,"158,2",9 500,9 500,1 674 300,"176,2"
24 GUELMA,1 212,150 800,"124,4",8 202,7 350,1 410 379,"172,0"
25 CONSTANTINE,100,5 948,"59,5",5 279,5 160,602 937,"114,2"
26 MEDEA,66,32 300,"489,4",9 661,9 661,1 368 861,"141,7"
27 MOSTAGANEM,1 279,222 955,"174,4",35 905,28 065,11 045 513,"307,6"
28 M'SILA,1 236,204 120,"165,1",8 800,8 800,2 442 000,"277,5"
29 MASCARA,843,106 200,"126,0",33 209,31 406,7 800 000,"234,9"
30 OUARGLA,1 170,202 868,"173,3",7 337,4 746,1 971 975,"268,8"
31 ORAN,864,35 898,"41,6",5 755,5 023,602 303,"104,7"
32 EL-BAYADH,347,68 694,"198,1",4 361,4 027,1 310 605,"300,6"
33 ILLIZI,110,12 115,"110,0",374,374,41 940,"112,1"
34 B.B.ARRERIDJ,294,61 965,"210,9",1 884,1 884,266 424,"141,4"
35 BOUMERDES,2 899,678 266,"233,9",16 902,14 502,4 125 140,"244,1"
36 EL-TARF,1 105,94 240,"85,3",6 890,5 408,1 371 610,"199,1"
37 TINDOUF,39,4 686,"119,7",140,139,43 423,"310,7"
38 TISSEMSILT,10,4 060,"406,0",1 673,1 673,244 697,"146,3"
39 EL-OUED,1 561,284 990,"182,5",51 000,39 917,17 431 796,"341,8"
40 KHENCHELA,134,12 262,"91,5",4 916,4 836,711 052,"144,6"
41 SOUK-AHRAS,57,1 010,"17,7",4 332,4 286,571 649,"132,0"
42 TIPAZA,3 159,679 618,"215,2",18 371,16 837,5 648 427,"307,5"
43 MILA,223,69 236,"310,2",6 259,6 259,2 537 396,"405,4"
44 AIN-DEFLA,8 105,3 753 455,"463,1",35 868,25 896,15 451 250,"430,8"
45 NAAMA,130,11 094,"85,3",2 267,1 093,373 043,"164,6"
46 A.TEMOUCHENT,582,147 314,"253,3",11 848,9 638,1 983 749,"167,4"
47 GHARDAIA,506,63 681,"125,9",4 400,4 400,865 700,"196,8"
48 RELIZANE,115,10 000,"87,0",21 479,21 478,2 920 149,"136,0"
TOTAL ALGERIE,48 373,10 780 353,"222,9",533 060,446 880,146 700 413,"275,2"
