0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII- ENSEMBLE DES CULTURES MARAÎCHERES (3/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,PIMENTS,,,POIVRONS,,,CONCOMBRES,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,178,22 645,"126,9",30,5 256,"174,7",140,70 861,"505,9"
2 CHLEF,33,2 603,"80,0",130,23 458,"180,0",23,10 356,"441,1"
3 LAGHOUAT,546,115 080,"210,8",329,99 300,"301,8",118,26 401,"223,7"
4 O.E.BOUAGHI,188,33 950,"180,8",231,43 900,"190,5",45,15 350,"341,1"
5 BATNA,626,91 677,"146,5",248,43 328,"174,7",116,22 445,"192,8"
6 BEJAIA,234,29 175,"124,5",200,27 942,"139,8",32,9 840,"305,7"
7 BISKRA,1 743,1 238 020,"710,3",1 040,782 900,"752,8",595,590 300,"992,1"
8 BECHAR,76,5 269,"69,3",79,6 676,"84,9",77,9 946,"129,8"
9 BLIDA,49,18 975,"386,6",232,118 046,"509,5",78,14 500,"185,9"
10 BOUIRA,108,4 877,"45,2",86,4 095,"47,9",5,396,"79,2"
11 TAMANRASSET,25,3 633,"142,7",17,2 829,"164,7",9,780,"88,6"
12 TEBESSA,80,9 920,"124,0",80,9 840,"123,0",80,9 760,"122,0"
13 TLEMCEN,156,15 060,"96,5",632,159 280,"252,0",234,86 752,"370,7"
14 TIARET,332,53 318,"160,8",369,77 075,"209,0",259,65 049,"251,6"
15 TIZI-OUZOU,137,21 096,"154,5",99,12 891,"129,8",23,6 333,"281,1"
16 ALGER,502,113 780,"226,4",546,151 265,"277,2",16,10 795,"679,8"
17 DJELFA,127,9 230,"72,7",180,16 480,"91,6",19,2 100,"110,5"
18 JIJEL,201,137 485,"684,5",286,204 601,"715,0",84,72 396,"865,8"
19 SETIF,309,185 526,"601,0",409,225 963,"552,9",158,126 150,"796,6"
20 SAIDA,185,45 500,"245,9",404,77 900,"192,8",0,0,0
21 SKIKDA,261,40 281,"154,5",388,65 396,"168,5",85,19 466,"228,9"
22 S.B.ABBES,28,4 828,"172,4",166,35 620,"214,6",40,10 091,"252,3"
23 ANNABA,315,43 913,"139,4",382,57 799,"151,3",249,38 038,"152,8"
24 GUELMA,134,18 600,"139,3",74,9 270,"125,3",36,9 840,"273,3"
25 CONSTANTINE,71,8 468,"120,0",43,5 310,"123,3",10,1 225,"122,5"
26 MEDEA,179,7 610,"42,5",324,19 660,"60,7",82,8 159,"99,5"
27 MOSTAGANEM,392,138 100,"352,3",973,392 770,"403,8",334,142 172,"425,4"
28 M'SILA,750,140 000,"186,7",120,28 000,"233,3",97,31 900,"328,9"
29 MASCARA,88,6 200,"70,5",637,137 900,"216,5",140,45 100,"322,1"
30 OUARGLA,163,27 426,"168,6",4,1 500,"375,0",15,4 570,"300,7"
31 ORAN,19,2 125,"113,4",97,13 124,"134,6",11,2 137,"203,1"
32 EL-BAYADH,41,4 305,"106,3",39,4 715,"122,5",58,12 135,"211,0"
33 ILLIZI,6,620,"110,0",10,1 107,"110,0",1,160,"110,0"
34 B.B.ARRERIDJ,166,4 750,"28,6",47,2 580,"54,9",27,3 660,"135,6"
35 BOUMERDES,299,47 885,"160,2",324,58 938,"181,9",55,13 640,"250,3"
36 EL-TARF,230,31 020,"134,9",195,23 250,"119,2",26,3 960,"152,3"
37 TINDOUF,3,1 205,"358,6",3,1 280,"500,0",1,704,"800,0"
38 TISSEMSILT,32,2 540,"79,4",8,520,"69,3",0,0,0
39 EL-OUED,538,162 865,"302,6",119,42 010,"354,2",73,27 040,"368,7"
40 KHENCHELA,174,44 687,"257,3",148,37 000,"250,0",42,3 845,"91,5"
41 SOUK-AHRAS,140,5 136,"36,7",230,2 750,"12,0",130,3 510,"27,0"
42 TIPAZA,382,107 165,"280,2",650,208 333,"320,7",405,317 797,"784,8"
43 MILA,120,30 527,"255,3",130,38 315,"295,2",46,17 435,"379,0"
44 AIN-DEFLA,72,30 820,"426,6",76,29 570,"391,7",86,37 660,"437,9"
45 NAAMA,56,5 974,"106,7",117,10 256,"87,7",68,9 991,"146,9"
46 A.TEMOUCHENT,19,3 420,"179,2",274,63 054,"230,2",58,15 070,"260,0"
47 GHARDAIA,100,10 000,"100,0",100,17 900,"179,0",30,2 800,"93,3"
48 RELIZANE,75,6 010,"80,1",121,16 200,"133,9",44,3 860,"87,7"
TOTAL ALGERIE,10 686,3 093 299,"289,5",11 422,3 417 150,"299,2",4 359,1 936 474,"444,2"
