0,1,2,3,4,5
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,SERIE B 2016
XIII-FIGUIERS (2/2),,,,,
,Productions,Productions,Productions Totales,Rendement,Productions de
WILAYA,Consommées,Soumises,,,Figues seches
,fraiches (qx),au séchage (qx),(qx),(kg/arbre),(qx)
1 ADRAR,0,0,0,"0,0",0
2 CHLEF,50 619,2 974,53 593,"43,0",527
3 LAGHOUAT,5 520,0,5 520,"23,0",0
4 O.E.BOUAGHI,527,0,527,"12,2",0
5 BATNA,18 849,2 335,21 184,"42,3",0
6 BEJAIA,91 600,74 400,166 000,"17,1",34 300
7 BISKRA,58 140,2,58 142,"15,1",2 260
8 BECHAR,2 460,0,2 460,"12,6",0
9 BLIDA,61 797,100,61 897,"68,1",100
10 BOUIRA,36 400,2 879,39 279,"15,6",955
11 TAMANRASSET,1 117,0,1 117,"10,0",0
12 TEBESSA,3 640,0,3 640,"13,8",0
13 TLEMCEN,8 172,1 138,9 310,"35,0",2 335
14 TIARET,19 700,0,19 700,"17,8",0
15 TIZI-OUZOU,101 034,34 743,135 777,"17,5",15 098
16 ALGER,3 060,0,3 060,"50,5",0
17 DJELFA,15 150,0,15 150,"25,9",0
18 JIJEL,31 087,0,31 087,"32,8",0
19 SETIF,100 536,41 304,141 840,"32,3",18 729
20 SAIDA,5 743,0,5 743,"50,6",0
21 SKIKDA,19 790,0,19 790,"34,6",0
22 S.B.ABBES,7 640,0,7 640,"2 984,4",0
23 ANNABA,9 280,0,9 280,"35,2",0
24 GUELMA,13 540,0,13 540,"73,4",0
25 CONSTANTINE,2 062,0,2 062,"34,6",0
26 MEDEA,39 399,0,39 399,"28,3",0
27 MOSTAGANEM,39 898,0,39 898,"36,6",0
28 M'SILA,14 100,0,14 100,"30,0",0
29 MASCARA,17 065,345,17 410,"22,6",175
30 OUARGLA,1 366,0,1 366,"12,3",0
31 ORAN,7 374,0,7 374,"19,0",0
32 EL-BAYADH,5 572,0,5 572,"23,6",0
33 ILLIZI,76,0,76,"5,8",0
34 B.B.ARRERIDJ,19 613,5 058,24 671,"12,5",2 069
35 BOUMERDES,20 825,6 850,27 675,"40,0",2 775
36 EL-TARF,6 400,0,6 400,"59,5",0
37 TINDOUF,0,0,0,"0,0",0
38 TISSEMSILT,17 820,3 030,20 850,"24,3",909
39 EL-OUED,750,0,750,"20,0",0
40 KHENCHELA,27 616,5 579,33 195,"25,9",3 905
41 SOUK-AHRAS,10 380,0,10 380,"14,8",0
42 TIPAZA,29 650,1 366,31 016,"40,9",270
43 MILA,12 496,0,12 496,"44,6",0
44 AIN-DEFLA,19 687,917,20 603,"30,9",633
45 NAAMA,2 827,0,2 827,"18,4",0
46 A.TEMOUCHENT,15 800,0,15 800,"13,6",0
47 GHARDAIA,10 251,0,10 251,"14,7",0
48 RELIZANE,33 630,398,34 028,"53,0",156
TOTAL ALGERIE,1 020 057,183 417,1 203 474,"23,9",85 195
