0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2019
,,,,,,Unité :Quintaux sauf précision,,
Wilaya,Viandes Rouges,Viande Blanche,Lait (1000L),,Œufs (1000 U),Miel,,Laine
Adrar,66 091,16 761,,12 298,-,,-,55
Chlef,78 180,183 331,,80 773,64 392,,"2 960,0",1 816
Laghouat,261 539,13 549,,85 147,21 923,,"320,0",34 000
Oum El Bouaghi,149 353,204 383,,84 049,110 556,,"459,2",10 549
Batna,78 326,400 912,,139 659,1 059 699,,"3 012,6",12 442
Bejaia,29 696,134 173,,41 501,337 966,,"1 637,9",429
Biskra,93 370,10 222,,41 471,7 620,,"718,8",8 102
Bechar,26 976,17 691,,18 984,6 000,,"101,0",2 287
Blida,22 602,105 152,,48 690,80 706,,"2 160,0",265
Bouira,111 806,393 612,,44 107,396 606,,"3 875,0",5 900
Tamanrasset,27 959,-,,6 864,1 310,,-,-
Tebessa,129 568,76 076,,86 569,78 008,,"1 300,0",9 416
Tlemcen,162 958,320 000,,128 566,174 070,,"2 200,0",95
Tiaret,350 440,109 368,,103 320,3 379,,"704,3",25 900
Tizi Ouzou,82 270,172 146,,147 993,133 384,,"1 968,3",1 275
Alger,13 224,77 169,,45 103,118 568,,"455,1",255
Djelfa,477 670,120 750,,94 213,61 184,,"299,0",63 200
Jijel,55 967,122 712,,50 415,38 996,,"3 478,2",1 015
Setif,203 930,333 407,,281 865,941 237,,"2 867,9",5 621
Saida,97 620,66 031,,38 308,24 630,,"349,5",1 498
Skikda,126 000,79 355,,148 786,95 274,,"7 920,0",4 900
Sidi Bel Abbes,165 860,37 450,,168 463,12 599,,"350,0",12 332
Annaba,34 990,45 400,,40 198,42 657,,"1 163,0",870
Guelma,113 457,82 639,,57 145,112 868,,"2 569,6",6 790
Constantine,108 259,148 048,,72 895,39 005,,"1 549,0",3 291
Medea,127 056,280 985,,107 454,111 766,,"2 230,2",8 754
Mostaganem,53 674,102 130,,103 100,242 480,,"1 420,0",3 370
Msila,289 000,116 000,,79 000,154 411,,"448,0",27 380
Mascara,65 000,244 200,,45 500,216 000,,"1 000,0",6 000
Ouargla,24 011,10 035,,18 348,8 210,,"54,6",1 272
Oran,30 311,93 454,,61 064,162 368,,"420,4",2 513
El Bayadh,337 311,5 577,,87 211,-,,"66,8",23 317
Illizi,23 312,-,,12 067,-,,-,-
Bordj Bou Arreridj,103 460,355 831,,58 352,714 701,,"1 280,0",5 178
Boumerdes,81 042,90 049,,43 629,84 293,,"1 790,0",466
El Tarf,105 500,23 878,,48 898,15 693,,"2 214,5",1 792
Tindouf,25 516,4 657,,12 567,-,,-,-
Tissemsilt,66 672,217 361,,30 752,21 794,,"500,3",5 486
El Oued,159 000,64 890,,32 550,3 812,,"18,9",6 860
Khenchela,54 629,27 532,,40 527,11 310,,"1 845,0",6 496
Souk Ahras,110 752,89 236,,104 391,30 600,,"1 140,9",72
Tipaza,19 213,143 989,,21 870,132 162,,"3 291,1",639
Mila,149 105,180 897,,137 659,166 110,,"1 595,0",6 250
Ain Defla,52 491,185 437,,27 356,203 499,,"638,9",2 438
Naama,202 648,10 512,,79 434,-,,"222,5",14 887
Ain Temouchent,47 239,105 988,,63 914,48 976,,"457,7",2 746
Ghardaia,45 223,2 415,,28 990,1 086,,"60,0",5 860
Relizane,51 420,95 359,,71 518,150 000,,"1 015,0",6 812
Total,5 291 695,5 720 748,,3 597 017,6 441 906,,64 128,350 893
