0,1,2,3,4
,Deglet nour (Dattes,Ghers  et,Degla Beida et,Total
WILAYA,fines),Analogues,Analogues,Palmier-dattier
,,(Dattes molles),(Dattes  sèches),
,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre
1 ADRAR,0,0,2 775 938,2 775 938
3 LAGHOUAT,9 304,12 960,11 412,33 676
5 BATNA,8 398,7 603,9 721,25 722
7 BISKRA,2 420 577,526 339,1 066 657,4 013 573
8 BECHAR,0,841 076,187 056,1 028 132
11 TAMANRASSET,0,601 487,0,601 487
12 TEBESSA,19 350,17 950,0,37 300
17 DJELFA,6 300,2 100,800,9 200
28 M'SILA,0,0,0,0
30 OUARGLA,1 128 322,879 975,135 519,2 143 816
32 EL-BAYADH,2 100,8 000,11 600,21 700
33 ILLIZI,2 362,27 970,22 675,53 007
37 TINDOUF,0,32 600,0,32 600
39 EL-OUED,2 397 600,699 200,607 500,3 704 300
40 KHENCHELA,43 700,60 300,11 542,115 542
45 NAAMA,465,21 720,0,22 185
47 GHARDAIA,459 817,171 837,483 792,1 115 446
TOTAL ALGERIE,6 498 295,3 911 117,5 324 212,15 733 624
