0,1,2,3,4,5,6,7,8
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,SERIE B 2016
V)-  AGRUMES  (3/3),,,,,,,,
,,POMELOS,,,,TOTAL,,
WILAYA,Sup.compl.,Sup.en rap.,Production,Rdt,Sup.compl.,Sup.en rap.,Production,Rdt
,ha,ha,qx,qx/ha,ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,0,0
2 CHLEF,22,22,3 300,"150,0",5 957,5 380,1 098 680,"204,2"
3 LAGHOUAT,0,0,0,0,11,8,468,"58,5"
4 O.E.BOUAGHI,0,0,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0,0,0
6 BEJAIA,0,0,0,0,2 002,1 838,226 982,"123,5"
7 BISKRA,0,0,0,0,82,70,2 345,"33,7"
8 BECHAR,0,0,0,0,44,38,5 605,"147,5"
9 BLIDA,40,40,10 950,"276,5",16 315,15 106,3 201 824,"212,0"
10 BOUIRA,0,0,0,0,476,397,24 898,"62,8"
11 TAMANRASSET,0,0,0,0,165,164,4 587,"27,9"
12 TEBESSA,0,0,0,0,0,0,0,0
13 TLEMCEN,0,0,0,0,2 568,2 125,363 930,"171,3"
14 TIARET,0,0,,0,0,0,0,0
15 TIZI-OUZOU,0,0,0,0,1 443,1 293,318 950,"246,6"
16 ALGER,22,22,4 100,"189,2",5 722,4 902,962 340,"196,3"
17 DJELFA,0,0,0,0,0,0,0,0
18 JIJEL,0,0,0,0,438,327,33 983,"103,9"
19 SETIF,0,0,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0,0,0
21 SKIKDA,1,1,100,"100,0",2 803,2 386,555 000,"232,6"
22 S.B.ABBES,0,0,0,0,0,0,0,0
23 ANNABA,0,0,0,0,598,445,66 700,"150,1"
24 GUELMA,0,0,0,0,833,655,146 400,"223,3"
25 CONSTANTINE,0,0,0,0,0,0,0,0
26 MEDEA,0,0,0,0,37,32,3 056,"95,5"
27 MOSTAGANEM,0,0,0,0,4 846,4 161,1 130 000,"271,6"
28 M'SILA,0,0,0,0,0,0,0,0
29 MASCARA,0,0,0,0,4 819,4 224,829 380,"196,3"
30 OUARGLA,0,0,0,0,31,19,1 505,"80,5"
31 ORAN,0,0,0,0,253,209,24 288,"116,0"
32 EL-BAYADH,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,129,71,4 888,"69,3"
34 B.B.ARRERIDJ,0,0,0,0,0,0,0,0
35 BOUMERDES,2,2,600,"300,0",2 178,1 948,432 986,"222,3"
36 EL-TARF,0,0,0,0,2 151,1 712,384 100,"224,3"
37 TINDOUF,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,0,0,0,0,0
39 EL-OUED,0,0,0,0,25,25,310,"12,4"
40 KHENCHELA,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,0,8,8,520,"65,0"
42 TIPAZA,0,0,0,0,4 207,3 750,930 000,"248,0"
43 MILA,0,0,0,0,3,2,40,"20,0"
44 AIN-DEFLA,0,0,0,0,1 615,1 347,132 000,"98,0"
45 NAAMA,0,0,0,0,2,2,110,"55,0"
46 A.TEMOUCHENT,0,0,0,0,393,316,33 775,"106,8"
47 GHARDAIA,0,0,0,0,1 137,785,66 250,"84,4"
48 RELIZANE,0,0,0,0,4 686,4 551,1 046 075,"229,9"
TOTAL ALGERIE,87,86,19 050,"220,8",65 974,58 296,12 031 973,"206,4"
