0,1,2,3,4,5,6,7,8,9,10,11,12
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,,,,SERIE B 2016
ENSEMBLE DES CULTURES HERBACEES 1/2,,,,,,,,,,,,
WILAYA,,Céréales  d'hiver,,,Céréales  d'été,,,Légumes  secs,,,Fourrages  artificiels,
,,(sup. emblavée - Sup reconvertie),,,,,,,,,,
,ha,,%,ha,,%,ha,,%,ha,,%
1 ADRAR,,10 054,"54,5",,554,"3,0",,106,"0,6",,1 623,"8,8"
2 CHLEF,,48 044,"40,1",,35,"0,0",,8 127,"6,8",,53 730,"44,8"
3 LAGHOUAT,,9 101,"28,4",,0,"0,0",,0,"0,0",,12 907,"40,3"
4 O.E.BOUAGHI,,176 282,"77,2",,34,"0,0",,237,"0,1",,48 081,"21,1"
5 BATNA,,131 289,"69,2",,0,"0,0",,0,"0,0",,47 793,"25,2"
6 BEJAIA,,6 510,"47,4",,8,"0,1",,518,"3,8",,2 793,"20,3"
7 BISKRA,,25 542,"45,0",,0,"0,0",,0,"0,0",,9 518,"16,8"
8 BECHAR,,534,"11,8",,0,"0,0",,0,"0,0",,1 225,"27,1"
9 BLIDA,,8 091,"58,2",,0,"0,0",,3,"0,0",,935,"6,7"
10 BOUIRA,,70 565,"80,2",,0,"0,0",,982,"1,1",,8 521,"9,7"
11 TAMANRASSET,,742,"30,4",,0,"0,0",,0,"0,0",,339,"13,9"
12 TEBESSA,,70 000,"34,5",,0,"0,0",,0,"0,0",,129 200,"63,6"
13 TLEMCEN,,141 650,"66,6",,90,"0,0",,9 673,"4,5",,44 490,"20,9"
14 TIARET,,278 083,"71,5",,0,"0,0",,4 742,"1,2",,95 539,"24,6"
15 TIZI-OUZOU,,5 573,"20,5",,0,"0,0",,613,"2,3",,14 702,"54,1"
16 ALGER,,1 987,"15,1",,0,"0,0",,0,"0,0",,2 320,"17,6"
17 DJELFA,,83 124,"80,6",,0,"0,0",,0,"0,0",,11 100,"10,8"
18 JIJEL,,735,"9,6",,53,"0,7",,277,"3,6",,606,"7,9"
19 SETIF,,191 560,"83,7",,0,"0,0",,814,"0,4",,24 821,"10,8"
20 SAIDA,,106 330,"91,8",,0,"0,0",,155,"0,1",,3 985,"3,4"
21 SKIKDA,,36 047,"44,2",,82,"0,1",,7 243,"8,9",,9 890,"12,1"
22 S.B.ABBES,,176 300,"91,5",,0,"0,0",,1 564,"0,8",,10 105,"5,2"
23 ANNABA,,14 225,"50,9",,0,"0,0",,826,"3,0",,1 453,"5,2"
24 GUELMA,,84 515,"74,2",,0,"0,0",,5 227,"4,6",,9 100,"8,0"
25 CONSTANTINE,,69 903,"83,3",,0,"0,0",,2 635,"3,1",,7 279,"8,7"
26 MEDEA,,101 378,"72,8",,0,"0,0",,1 987,"1,4",,29 039,"20,9"
27 MOSTAGANEM,,39 672,"39,1",,0,"0,0",,6 641,"6,5",,31 863,"31,4"
28 M'SILA,,51 200,"50,5",,0,"0,0",,0,"0,0",,40 000,"39,5"
29 MASCARA,,97 341,"48,7",,20,"0,0",,4 017,"2,0",,71 436,"35,7"
30 OUARGLA,,1 050,"14,6",,0,"0,0",,0,"0,0",,1 960,"27,2"
31 ORAN,,31 522,"48,6",,0,"0,0",,262,"0,4",,29 046,"44,8"
32 EL-BAYADH,,842,"0,0",,118,"0,0",,0,"0,0",,8 309,"70,9"
33 ILLIZI,,46,"0,0",,0,"0,0",,0,"0,0",,150,"37,2"
34 B.B.ARRERIDJ,,87 700,"92,4",,0,"0,0",,322,"0,3",,4 852,"5,1"
35 BOUMERDES,,5 560,"15,8",,137,"0,4",,714,"2,0",,9 556,"27,2"
36 EL-TARF,,20 150,"54,9",,0,"0,0",,850,"2,3",,981,"2,7"
37 TINDOUF,,0,"0,0",,0,"0,0",,0,"0,0",,41,"21,8"
38 TISSEMSILT,,45 270,"56,7",,0,"0,0",,574,"0,7",,33 238,"41,6"
39 EL-OUED,,8 000,"16,9",,0,"0,0",,0,"0,0",,1 857,"3,9"
40 KHENCHELA,,68 203,"57,3",,0,"0,0",,0,"0,0",,46 500,"39,1"
41 SOUK-AHRAS,,132 165,"79,6",,0,"0,0",,862,"0,6",,28 439,"17,1"
42 TIPAZA,,17 040,"43,8",,0,"0,0",,454,"1,2",,9 325,"24,0"
43 MILA,,105 362,"83,3",,0,"0,0",,3 283,"2,6",,12 439,"9,8"
44 AIN-DEFLA,,63 950,"53,7",,10,"0,0",,3 028,"2,5",,23 355,"19,6"
45 NAAMA,,1 674,"22,3",,0,"0,0",,0,"0,0",,4 187,"55,8"
46 A.TEMOUCHENT,,74 839,"54,3",,0,"0,0",,8 212,"6,0",,45 269,"32,8"
47 GHARDAIA,,3 134,"21,7",,0,"0,0",,0,"0,0",,6 414,"44,4"
48 RELIZANE,,116 781,"63,4",,27,"0,0",,2 461,"1,3",,44 226,"24,0"
TOTAL ALGERIE,,2 819 663,"64,1",,1 168,"0,0",,77 408,"1,8",,1 034 531,"23,5"
