0,1,2,3,4,5,6,7,8,9,10,11
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,,,SERIE B 2016
IX-FOURRAGES ARTIFICIELS (4/4),,,,,,,,,,,
,,FOURRAGES  CONSOMMES  EN VERT  OU  ENSILES,,,,,,Fourrages en sec et en,,,Total fourrages
WILAYA,,,,,,,,vert,,,
,,Autres,,,Total,,Superficie,,Prod,Superficie,Prod
,Sup,Prod,Rdt,Sup,Prod,Rdt,,,,,
,(ha),(Qx),qx/ha,(ha),(Qx),qx/ha,(ha),,(Qx),(ha),(QX)
1 ADRAR,387,101 610,"262,6",1 596,348 074,"218,1",1 623,,353 474,1 623,353 474
2 CHLEF,20,600,"30,0",995,183 690,"184,6",53 730,,1 438 510,58 203,1 468 240
3 LAGHOUAT,0,0,0,4 937,427 000,"86,5",12 907,,825 065,12 907,825 065
4 O.E.BOUAGHI,0,0,0,9 464,866 504,"91,6",48 081,,1 492 436,60 060,1 697 467
5 BATNA,0,0,0,16 363,2 772 809,"169,5",47 793,,3 892 702,70 019,5 030 292
6 BEJAIA,6,480,"80,0",560,72 540,"129,5",2 793,,130 818,15 233,363 570
7 BISKRA,3 084,108 890,"35,3",4 688,246 420,"52,6",9 518,,554 200,9 518,554 200
8 BECHAR,288,41 815,"145,2",1 080,191 255,"177,1",1 225,,199 955,1 225,199 955
9 BLIDA,0,0,0,331,86 763,"262,5",935,,124 135,4 776,407 102
10 BOUIRA,0,0,0,96,9 286,"96,7",8 521,,295 173,8 521,295 173
11 TAMANRASSET,,,0,339,97 691,"288,2",339,,97 691,656,116 053
12 TEBESSA,0,0,0,6 500,284 000,"43,7",129 200,,1 202 800,129 320,1 202 800
13 TLEMCEN,0,0,0,3 490,662 200,"189,7",44 490,,1 842 900,45 405,1 874 435
14 TIARET,0,0,0,8 124,276 010,"34,0",95 539,,2 278 510,95 589,2 279 200
15 TIZI-OUZOU,0,0,0,7 873,3 310 615,"420,5",14 702,,3 613 041,30 992,4 022 155
16 ALGER,10,3 000,"300,0",364,115 730,"317,9",2 320,,232 500,2 320,232 500
17 DJELFA,0,0,0,4 000,647 600,"161,9",11 100,,658 230,11 100,658 230
18 JIJEL,0,0,0,514,100 081,"194,7",606,,108 371,12 681,489 799
19 SETIF,985,59 350,"60,3",11 548,877 120,"76,0",24 821,,1 392 900,39 623,1 792 621
20 SAIDA,0,0,0,1 510,80 883,"53,6",3 985,,153 438,3 985,153 438
21 SKIKDA,139,5 750,"41,4",4 063,530 230,"130,5",9 890,,763 280,24 571,1 289 357
22 S.B.ABBES,5,200,"40,0",2 110,431 790,"204,6",10 105,,617 665,10 105,617 665
23 ANNABA,41,1 230,"30,0",377,18 096,"48,0",1 453,,66 856,9 161,413 840
24 GUELMA,301,7 465,"24,8",6 482,1 279 450,"197,4",9 100,,1 398 035,24 811,2 413 335
25 CONSTANTINE,1 145,93 730,"81,9",3 744,301 505,"80,5",7 279,,469 920,10 262,553 670
26 MEDEA,0,0,0,4 714,431 210,"91,5",29 039,,1 265 737,32 914,1 613 277
27 MOSTAGANEM,0,0,0,22 335,354 189,"15,9",31 863,,493 525,31 863,493 525
28 M'SILA,0,0,0,15 400,1 030 000,"66,9",40 000,,1 278 400,40 000,1 278 400
29 MASCARA,1 434,18 800,"13,1",4 840,252 200,"52,1",71 436,,2 850 800,79 276,2 923 600
30 OUARGLA,85,10 920,"128,5",1 960,486 415,"248,2",1 960,,486 415,1 960,486 415
31 ORAN,21,6 360,"302,9",86,28 960,"336,7",29 046,,325 061,29 592,325 061
32 EL-BAYADH,0,0,0,312,30 465,"97,6",8 309,,66 656,8 309,66 656
33 ILLIZI,0,0,0,150,12 000,"80,0",150,,12 000,150,12 000
34 B.B.ARRERIDJ,0,0,0,1 592,77 675,"48,8",4 852,,206 880,18 803,437 335
35 BOUMERDES,0,0,0,981,229 453,"234,0",9 556,,570 183,12 326,642 254
36 EL-TARF,0,0,0,510,138 600,"272,0",981,,168 630,16 381,837 700
37 TINDOUF,0,0,0,41,3 470,"84,6",41,,3 470,41,3 470
38 TISSEMSILT,0,0,0,1 756,43 060,"24,5",33 238,,276 323,40 941,409 824
39 EL-OUED,0,0,0,2 992,479 020,"160,1",2 992,,479 020,2 992,479 020
40 KHENCHELA,0,0,0,8 795,378 418,"43,0",46 500,,541 071,51 326,566 025
41 SOUK-AHRAS,52,1 520,"29,2",1 057,55 130,"52,2",28439,,356 533,4 488,372 613
42 TIPAZA,575,11 500,"20,0",1 135,118 920,"104,8",9 325,,461 355,12 719,564 643
43 MILA,0,0,0,3 362,743 232,"221,1",12 439,,1 393 687,30 619,1 790 957
44 AIN-DEFLA,117,31 870,"272,4",780,215 755,"276,6",23 355,,1 089 957,27 391,1 210 621
45 NAAMA,0,0,0,4 187,614 970,"146,9",4 187,,614 970,4 187,614 970
46 A.TEMOUCHENT,0,0,0,230,12 000,"52,2",45 269,,1 174 674,45 279,1 174 924
47 GHARDAIA,0,0,0,6 414,1 199 451,"187,0",6 414,,1 199 451,6 414,1 199 451
48 RELIZANE,2,80,"40,0",2 518,119 145,"47,3",44 226,,876 937,60 312,1 170 030
TOTAL ALGERIE,8 645,503 650,"58,3",187 313,21 232 729,"113,4",1 035 666,,40 394 339,1 278 196,48 314 529
,,,,,,,,,,Fourrages,50
