0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2019
VI-LEGUMES SECS (1/2),,,,,,,,,
WILAYA,,Fèves-féveroles,,,Pois secs,,,Lentilles,
,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,138,874,"6,3"
2 CHLEF,5 500,68 691,"12,5",232,2 320,"10,0",1 690,20280,"12,0"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,8,135,"16,9",0,0,0,702,4374,"6,2"
5 BATNA,48,480,"10,0",0,0,0,50,250,"5,0"
6 BEJAIA,451,7 621,"16,9",15,227,"15,0",2,36,"18,0"
7 BISKRA,0,0,0,0,0,0,0,0,0
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,0,0,0,0,0,0,0,0,0
10 BOUIRA,804,8 514,"10,6",0,0,0,112,1196,"10,7"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,0,0,0,0,0,0,130,910,"7,0"
13 TLEMCEN,6 550,98 300,"15,0",4 620,69 300,"15,0",290,4100,"14,1"
14 TIARET,0,0,0,0,0,0,8 190,56000,"6,8"
15 TIZI-OUZOU,488,7 396,"15,2",9,129,"14,3",9,114,"12,7"
16 ALGER,0,0,0,0,0,0,0,0,0
17 DJELFA,0,0,0,0,0,0,0,0,0
18 JIJEL,306,4 934,"16,2",0,0,0,0,0,0
19 SETIF,389,5 127,"13,2",144,1 468,"10,2",271,1444,"5,3"
20 SAIDA,229,3664,"16,0",200,2400,"12,0",41,268,"6,5"
21 SKIKDA,5 500,66 000,"12,0",4,48,"12,0",92,1142,"12,4"
22 S.B.ABBES,190,1 710,"9,0",200,2 000,"10,0",940,7520,"8,0"
23 ANNABA,892,12 224,"13,7",2,28,"14,0",54,631,"11,7"
24 GUELMA,3 573,53 920,"15,1",19,235,"12,4",1 290,19 416,"15,1"
25 CONSTANTINE,2 502,45 112,"18,0",120,2 240,"18,7",3 051,28 307,"9,3"
26 MEDEA,1 457,20 057,"13,8",168,1 704,"10,1",165,1483,"9,0"
27 MOSTAGANEM,937,11 409,"12,2",450,5 385,"12,0",10,80,"8,0"
28 M'SILA,0,0,0,0,0,0,0,0,0
29 MASCARA,1 180,12 980,"11,0",1 600,16 000,"10,0",78,580,"7,4"
30 OUARGLA,0,0,0,0,0,0,0,0,0
31 ORAN,12,168,"14,0",6,60,"10,0",30,80,"2,7"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,15,210,"14,0",0,0,0,155,1860,"12,0"
35 BOUMERDES,332,4 316,"13,0",0,0,0,0,0,0
36 EL-TARF,436,5 250,"12,0",0,0,0,10,30,"3,0"
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,1 315,12 036,"9,2",64,463,"7,2",1 380,9491,"6,9"
39 EL-OUED,0,0,0,0,0,0,0,0,0
40 KHENCHELA,0,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,140,969,"6,9",0,0,0,3 479,33342,"9,6"
42 TIPAZA,408,12 240,"30,0",16,255,"15,9",86,1241,"14,4"
43 MILA,962,14 053,"14,6",13,170,"13,1",2 600,32400,"12,5"
44 AIN-DEFLA,2 718,42 681,"15,7",484,7 059,"14,6",135,1416,"10,5"
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,2 206,15 600,"7,1",697,3 920,"5,6",195,1590,"8,2"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,1 904,16 932,"8,9",889,5 839,"6,6",4 142,34788,"8,4"
TOTAL ALGERIE,41 451,552 729,"13,3",9 952,121 250,"12,2",29 516,265 242,"9,0"
