0,1,2,3,4,5,6,7,8,9,10,11,12
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,,,SERIE B 2017
ENSEMBLE DES CULTURES HERBACEES ½,,,,,,,,,,,,
WILAYA,,Céréales  d'hiver,,Céréales  d'été,,,Légumes  secs,,,Fourrages  artificiels,,
,,(sup. emblavée - Sup reconvertie),,,,,,,,,,
,ha,%,,ha,%,ha,%,,ha,,%,
1 ADRAR,11 177,,"52,8",1 896,"9,0",135,,"0,6",,1 649,,"7,8"
2 CHLEF,90 148,,"69,3",0,"0,0",8 120,,"6,2",,21 753,,"16,7"
3 LAGHOUAT,27 972,,"55,5",0,"0,0",0,,"0,0",,12 394,,"24,6"
4 O.E.BOUAGHI,71 466,,"30,8",51,"0,0",388,,"0,2",,156 857,,"67,6"
5 BATNA,121 523,,"68,2",0,"0,0",163,,"0,1",,48 283,,"27,1"
6 BEJAIA,6 454,,"47,3",8,"0,1",516,,"3,8",,2 935,,"21,5"
7 BISKRA,26 930,,"46,6",50,"0,1",3,,"0,0",,8 250,,"14,3"
8 BECHAR,1 463,,"26,4",0,"0,0",0,,"0,0",,1 318,,"23,8"
9 BLIDA,8 753,,"55,7",0,"0,0",27,,"0,2",,1 192,,"7,6"
10 BOUIRA,67 481,,"79,0",0,"0,0",1 093,,"1,3",,8 330,,"9,7"
11 TAMANRASSET,818,,"40,5",10,"0,5",1,,"0,0",,255,,"12,6"
12 TEBESSA,106 073,,"52,1",0,"0,0",111,,"0,1",,91 569,,"45,0"
13 TLEMCEN,172 500,,"75,7",100,"0,0",15 915,,"7,0",,22 260,,"9,8"
14 TIARET,350 000,,"86,5",0,"0,0",10 187,,"2,5",,33 960,,"8,4"
15 TIZI-OUZOU,6 673,,"24,4",0,"0,0",645,,"2,4",,13 769,,"50,4"
16 ALGER,2 174,,"17,3",0,"0,0",18,,"0,1",,2 048,,"16,3"
17 DJELFA,53 020,,"51,6",0,"0,0",0,,"0,0",,42 315,,"41,2"
18 JIJEL,780,,"9,2",75,"0,9",374,,"4,4",,623,,"7,3"
19 SETIF,196 225,,"84,6",0,"0,0",877,,"0,4",,25 261,,"10,9"
20 SAIDA,116 457,,"89,9",0,"0,0",661,,"0,5",,6 564,,"5,1"
21 SKIKDA,35 941,,"43,0",80,"0,1",7 283,,"8,7",,9 786,,"11,7"
22 S.B.ABBES,166 907,,"86,9",0,"0,0",2 525,,"1,3",,18 043,,"9,4"
23 ANNABA,14 400,,"50,1",0,"0,0",1 071,,"3,7",,1 325,,"4,6"
24 GUELMA,79 010,,"70,6",0,"0,0",6 173,,"5,5",,14 448,,"12,9"
25 CONSTANTINE,80 592,,"81,5",0,"0,0",4 740,,"4,8",,8 504,,"8,6"
26 MEDEA,116 175,,"71,6",0,"0,0",2 476,,"1,5",,36 148,,"22,3"
27 MOSTAGANEM,45 446,,"45,5",0,"0,0",4 776,,"4,8",,25 584,,"25,6"
28 M'SILA,53 050,,"50,9",0,"0,0",0,,"0,0",,41 200,,"39,5"
29 MASCARA,120 510,,"58,4",0,"0,0",4 570,,"2,2",,53 415,,"25,9"
30 OUARGLA,1 879,,"24,4",0,"0,0",0,,"0,0",,2 182,,"28,3"
31 ORAN,46 481,,"72,0",0,"0,0",416,,"0,6",,13 264,,"20,5"
32 EL-BAYADH,2 854,,"0,0",15,"0,0",0,,"0,0",,10 745,,"66,9"
33 ILLIZI,40,,"0,0",0,"0,0",0,,"0,0",,150,,"36,2"
34 B.B.ARRERIDJ,70 536,,"78,7",0,"0,0",219,,"0,2",,16 424,,"18,3"
35 BOUMERDES,4 652,,"13,6",0,"0,0",788,,"2,3",,9 904,,"28,9"
36 EL-TARF,26 320,,"66,3",0,"0,0",1 281,,"3,2",,1 237,,"3,1"
37 TINDOUF,0,,"0,0",0,"0,0",0,,"0,0",,26,,"14,9"
38 TISSEMSILT,69 819,,"85,8",0,"0,0",760,,"0,9",,9 931,,"12,2"
39 EL-OUED,14 000,,"25,0",0,"0,0",0,,"0,0",,2 654,,"4,7"
40 KHENCHELA,72 068,,"53,4",0,"0,0",14,,"0,0",,57 840,,"42,9"
41 SOUK-AHRAS,130 820,,"88,7",0,"0,0",1 689,,"1,1",,11 272,,"7,6"
42 TIPAZA,17 171,,"40,9",0,"0,0",460,,"1,1",,8 566,,"20,4"
43 MILA,111 960,,"85,1",0,"0,0",4 414,,"3,4",,9 449,,"7,2"
44 AIN-DEFLA,74 295,,"58,3",30,"0,0",4 194,,"3,3",,20 203,,"15,9"
45 NAAMA,1 913,,"28,5",0,"0,0",0,,"0,0",,3 525,,"52,5"
46,109 324,,"76,2",0,"0,0",9 173,,"6,4",,15 366,,"10,7"
A.TEMOUCHENT,,,,,,,,,,,,
47 GHARDAIA,4 169,,"31,8",0,"0,0",0,,"0,0",,4 290,,"32,7"
48 RELIZANE,143 887,,"77,9",23,"0,0",4 170,,"2,3",,16 504,,"8,9"
TOTAL ALGERIE,3 052 305,,"67,1",2 337,"0,1",100 425,,"2,2",,923 569,,"20,3"
"NB: superficie totale des céréales d'hiver, il s'agit de la superficie totale emblavée moins les superficies reconverties en fourrage sec",,,,,,,,,,,,
