0,1,2,3,4,5,6,7,8
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,SERIE B 2017
V)-  AGRUMES  (2/3),,,,,,,,
,,MANDARINIERS,,,,CITRONNIERS,,
WILAYA,Sup.compl.,Sup.en rap.,Production,Rdt,Sup.compl.,Sup.en rap.,Production,Rdt
,ha,ha,qx,qx/ha,ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,0,0
2 CHLEF,185,122,25 220,"207,6",73,64,9 965,"155,7"
3 LAGHOUAT,2,2,94,"47,0",4,4,252,"63,0"
4 O.E.BOUAGHI,0,0,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0,0,0
6 BEJAIA,16,14,2 335,"171,0",56,49,7 121,"146,1"
7 BISKRA,0,0,0,0,66,59,2 590,"43,9"
8 BECHAR,0,0,0,0,29,28,4 320,"154,3"
9 BLIDA,1 273,1 219,240 818,"197,6",1 052,1 019,264 365,"259,4"
10 BOUIRA,30,30,1 785,"59,5",35,34,2 040,"60,9"
11 TAMANRASSET,2,7,280,"43,1",20,21,1 094,"52,3"
12 TEBESSA,0,0,0,0,0,0,0,0
13 TLEMCEN,23,23,3 380,"147,0",166,150,40 050,"267,0"
14 TIARET,0,0,0,0,0,0,0,0
15 TIZI-OUZOU,51,42,11 870,"286,0",73,64,16 550,"259,8"
16 ALGER,186,181,34 615,"190,8",628,554,110 245,"199,1"
17 DJELFA,0,0,0,0,0,0,0,0
18 JIJEL,0,0,0,0,54,46,4 874,"106,4"
19 SETIF,0,0,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0,0,0
21 SKIKDA,296,274,57 000,"208,2",133,107,21 182,"197,1"
22 S.B.ABBES,0,0,0,0,0,0,0,0
23 ANNABA,30,17,2 645,"155,6",38,15,2 363,"163,0"
24 GUELMA,51,21,4 400,"214,6",24,22,5 435,"247,0"
25 CONSTANTINE,0,0,0,0,0,0,0,0
26 MEDEA,2,2,80,"40,0",4,4,310,"77,5"
27 MOSTAGANEM,17,17,4 820,"292,1",250,247,68 170,"276,6"
28 M'SILA,0,0,0,0,0,0,0,0
29 MASCARA,22,22,2 580,"117,3",83,83,11 010,"132,7"
30 OUARGLA,1,1,25,"33,3",12,6,301,"50,2"
31 ORAN,1,1,110,"110,0",26,19,1 975,"103,9"
32 EL-BAYADH,0,0,0,0,0,0,0,0
33 ILLIZI,16,9,622,"69,1",57,34,2 345,"69,9"
34 B.B.ARRERIDJ,0,0,0,0,0,0,0,0
35 BOUMERDES,21,18,3 000,"169,0",286,236,40 413,"171,1"
36 EL-TARF,143,132,25 650,"194,3",107,91,19 900,"219,9"
37 TINDOUF,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,0,0,0,0,0
39 EL-OUED,0,0,0,0,15,15,450,"30,0"
40 KHENCHELA,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,0,0,0,0,0
42 TIPAZA,95,95,23 980,"252,4",378,361,88 508,"245,2"
43 MILA,0,0,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,37,37,2 220,"60,0"
45 NAAMA,0,0,0,0,1,1,65,"65,0"
46 A.TEMOUCHENT,0,0,0,0,2,2,185,"123,3"
47 GHARDAIA,79,50,4 333,"86,7",390,312,26 224,"84,1"
48 RELIZANE,20,17,2 575,"156,1",137,137,23 050,"168,2"
TOTAL ALGERIE,2 559,2 312,452 217,"195,6",4 234,3 818,777 572,"203,7"
