0,1,2,3,4,5,6,7,8,9
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,SERIE B 2017
IX-FOURRAGES ARTIFICIELS (2/4),,,,,,,,,
,,,FOURRAGES CONSOMMES EN SEC,,,,,,
,,CEREAL RECONVERT,,,DIVERS,,,TOTAL,
WILAYA,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt
,(ha),(qx),qx/ha,(ha),(qx),qx/ha,(ha),(qx),qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0
2 CHLEF,1 672,42 205,"25,2",7 973,229 520,"28,8",20 835,754 790,"36,2"
3 LAGHOUAT,0,0,0,6 005,279 807,"46,6",7 580,353 250,"46,6"
4 O.E.BOUAGHI,141 134,398 996,"2,8",2 818,102 695,"36,4",143 962,501 721,"3,5"
5 BATNA,21 477,172 915,"8,1",20 046,1 526 220,"76,1",41 523,1 699 135,"40,9"
6 BEJAIA,1,20,"20,0",1 130,25 784,"22,8",2 389,57 596,"24,1"
7 BISKRA,1 540,80 000,"51,9",3 192,158 665,"49,7",4 772,246 665,"51,7"
8 BECHAR,63,450,"7,1",0,0,0,63,450,"7,1"
9 BLIDA,4,140,"35,0",482,24 271,"50,4",732,35 736,"48,9"
10 BOUIRA,0,0,0,8 093,248 137,"30,7",8 177,251 159,"30,7"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,83 927,238 166,"2,8",1 600,25 600,"16,0",86 782,651 516,"7,5"
13 TLEMCEN,0,0,0,16 800,571 327,"34,0",18 210,622 087,"34,2"
14 TIARET,0,0,0,25 960,519 200,"20,0",25 960,519 200,"20,0"
15 TIZI-OUZOU,10,200,"20,0",6 430,333 859,"51,9",6 681,341 083,"51,1"
16 ALGER,51,510,"10,0",1 043,67 885,"65,1",1 733,106 266,"61,3"
17 DJELFA,38 080,57 310,"1,5",0,0,0,38 080,57 310,"1,5"
18 JIJEL,0,0,0,70,14 020,"200,3",122,16 571,"135,8"
19 SETIF,0,0,0,13 789,278 396,"20,2",14 196,283 431,"20,0"
20 SAIDA,0,0,0,4 040,212 608,"52,6",4 168,216 448,"51,9"
21 SKIKDA,293,9 355,"31,9",0,0,0,5 341,186 035,"34,8"
22 S.B.ABBES,7 393,200 421,"27,1",0,0,0,15 763,343 608,"21,8"
23 ANNABA,30,2 293,"76,4",519,22 712,"43,8",804,36 225,"45,1"
24 GUELMA,5 751,18 398,"3,2",2 205,67 770,"30,7",8 236,96 313,"11,7"
25 CONSTANTINE,0,0,0,3 466,96 681,"27,9",4 498,126 073,"28,0"
26 MEDEA,2 347,83 925,"35,8",17 745,519 655,"29,3",25 012,924 205,"37,0"
27 MOSTAGANEM,3 554,47 927,"13,5",0,0,0,24 062,482 557,"20,1"
28 M'SILA,22 200,177 600,"8,0",0,0,0,22 450,182 600,"8,1"
29 MASCARA,23 590,426 000,"18,1",24 660,823 600,"33,4",48 250,1 249 600,"25,9"
30 OUARGLA,15,270,"18,0",12,288,"24,0",27,558,"20,7"
31 ORAN,7 056,128 594,"18,2",6 117,167 377,"27,4",13 173,295 971,"22,5"
32 EL-BAYADH,10 540,41 535,"3,9",0,0,0,10 579,45 665,"4,3"
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,12 164,34 500,"2,8",2 687,48 300,"18,0",14 921,83 150,"5,6"
35 BOUMERDES,41,1 066,"26,0",8 426,345 466,"41,0",8 696,357 730,"41,1"
36 EL-TARF,350,15 300,"43,7",9,180,"20,0",604,34 330,"56,8"
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,6 081,109 250,"18,0",1 490,29 430,"19,8",7 871,148 835,"18,9"
39 EL-OUED,0,0,0,0,0,0,0,0,0
40 KHENCHELA,48 232,79 259,"1,6",0,0,0,48 232,79 259,"1,6"
41 SOUK-AHRAS,6 180,41 150,"6,7",1 370,8 380,"6,1",8 287,70 080,"8,5"
42 TIPAZA,607,15 150,"25,0",3 920,175 615,"44,8",7 566,336 505,"44,5"
43 MILA,0,0,0,3 787,183 779,"48,5",4 702,227 659,"48,4"
44 AIN-DEFLA,4 105,180 025,"43,9",13 237,536 486,"40,5",19 749,804 591,"40,7"
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,5 436,203 900,"37,5",9 830,554 050,"56,4",15 266,757 950,"49,6"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,3 416,91 094,"26,7",8 678,323 651,"37,3",16 197,612 660,"37,8"
TOTAL ALGERIE,457 339,2 897 924,"6,3",227 628,8 521 414,"37,4",756 249,14 196 573,"18,8"
