0,1,2,3,4,5,6,7,8,9,10,11,12
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,,SERIE B 2018
ENSEMBLE DES CULTURES HERBACEES ½,,,,,,,,,,,,
WILAYA,,Céréales  d'hiver,,Céréales  d'été,,,Légumes  secs,,,Fourrages  artificiels,,
,(sup. emblavée - Sup reconvertie),,,,,,,,,,,
,ha,%,,ha,%,ha,%,,ha,,%,
1 ADRAR,15 386,,"60,4",1 141,"4,5",136,,"0,5",,1 656,,"6,5"
2 CHLEF,92 112,,"69,2",0,"0,0",9 072,,"6,8",,22 215,,"16,7"
3 LAGHOUAT,21 343,,"48,7",0,"0,0",0,,"0,0",,12 429,,"28,3"
4 O.E.BOUAGHI,199 650,,"91,3",45,"0,0",460,,"0,2",,14 814,,"6,8"
5 BATNA,123 165,,"74,6",0,"0,0",128,,"0,1",,33 898,,"20,5"
6 BEJAIA,6 657,,"48,3",0,"0,0",500,,"3,6",,3 319,,"24,1"
7 BISKRA,27 334,,"50,0",50,"0,1",0,,"0,0",,4 670,,"8,5"
8 BECHAR,805,,"17,6",0,"0,0",0,,"0,0",,1 023,,"22,3"
9 BLIDA,8 000,,"51,7",0,"0,0",10,,"0,1",,1 485,,"9,6"
10 BOUIRA,65 695,,"77,3",0,"0,0",1 150,,"1,4",,9 021,,"10,6"
11 TAMANRASSET,758,,"32,6",0,"0,0",0,,"0,0",,378,,"16,2"
12 TEBESSA,120 000,,"58,9",98,"0,0",124,,"0,1",,79 364,,"38,9"
13 TLEMCEN,172 500,,"74,1",0,"0,0",16 185,,"6,9",,21 500,,"9,2"
14 TIARET,356 000,,"86,5",0,"0,0",10 625,,"2,6",,33 524,,"8,1"
15 TIZI-OUZOU,7 563,,"28,0",0,"0,0",768,,"2,8",,12 420,,"46,0"
16 ALGER,1 946,,"15,8",0,"0,0",36,,"0,3",,1 957,,"15,9"
17 DJELFA,43 187,,"70,9",0,"0,0",64,,"0,1",,9 653,,"15,8"
18 JIJEL,886,,"10,2",82,"0,9",361,,"4,2",,615,,"7,1"
19 SETIF,197 175,,"84,8",0,"0,0",883,,"0,4",,25 197,,"10,8"
20 SAIDA,127 460,,"89,4",0,"0,0",411,,"0,3",,8 171,,"5,7"
21 SKIKDA,36 047,,"43,6",107,"0,1",7 211,,"8,7",,8 892,,"10,7"
22 S.B.ABBES,191 032,,"91,8",0,"0,0",2 206,,"1,1",,10 325,,"5,0"
23 ANNABA,15 623,,"49,9",0,"0,0",1 784,,"5,7",,1 589,,"5,1"
24 GUELMA,87 100,,"76,6",0,"0,0",6 292,,"5,5",,9 300,,"8,2"
25 CONSTANTINE,81 535,,"78,5",0,"0,0",6 658,,"6,4",,10 547,,"10,2"
26 MEDEA,117 359,,"73,4",0,"0,0",2 142,,"1,3",,31 484,,"19,7"
27 MOSTAGANEM,47 582,,"48,2",0,"0,0",4 252,,"4,3",,18 932,,"19,2"
28 M'SILA,33 801,,"40,4",0,"0,0",0,,"0,0",,40 500,,"48,4"
29 MASCARA,140 100,,"69,0",0,"0,0",5 190,,"2,6",,28 710,,"14,1"
30 OUARGLA,2 457,,"24,0",30,"0,3",0,,"0,0",,2 412,,"23,5"
31 ORAN,54 585,,"82,7",0,"0,0",551,,"0,8",,6 671,,"10,1"
32 EL-BAYADH,6 734,,"0,0",5,"0,0",0,,"0,0",,2 515,,"20,1"
33 ILLIZI,47,,"0,0",0,"0,0",0,,"0,0",,155,,"31,1"
34 B.B.ARRERIDJ,78 020,,"93,5",0,"0,0",36,,"0,0",,3 665,,"4,4"
35 BOUMERDES,4 602,,"15,6",0,"0,0",348,,"1,2",,10 077,,"34,2"
36 EL-TARF,25 735,,"62,9",0,"0,0",1 903,,"4,7",,1 861,,"4,5"
37 TINDOUF,0,,"0,0",0,"0,0",0,,"0,0",,43,,"22,8"
38 TISSEMSILT,79 500,,"92,1",0,"0,0",1 500,,"1,7",,4 210,,"4,9"
39 EL-OUED,12 613,,"21,3",0,"0,0",0,,"0,0",,2 900,,"4,9"
40 KHENCHELA,97 726,,"74,2",0,"0,0",0,,"0,0",,29 232,,"22,2"
41 SOUK-AHRAS,137 883,,"83,4",0,"0,0",6 099,,"3,7",,16 479,,"10,0"
42 TIPAZA,17 088,,"43,1",0,"0,0",758,,"1,9",,7 848,,"19,8"
43 MILA,109 724,,"83,4",0,"0,0",5 473,,"4,2",,10 273,,"7,8"
44 AIN-DEFLA,75 566,,"58,5",0,"0,0",4 148,,"3,2",,21 140,,"16,4"
45 NAAMA,2 210,,"32,3",0,"0,0",0,,"0,0",,3 450,,"50,3"
46 A.TEMOUCHENT,114 400,,"79,3",0,"0,0",9 183,,"6,4",,11 410,,"7,9"
47 GHARDAIA,4 983,,"32,9",0,"0,0",0,,"0,0",,5 540,,"36,5"
48 RELIZANE,149 592,,"75,2",69,"0,0",5 179,,"2,6",,22 504,,"11,3"
TOTAL ALGERIE,3 311 263,,"73,1",1 627,"0,0",111 823,,"2,5",,619 966,,"13,7"
"NB: superficie totale des céréales d'hiver, il s'agit de la superficie totale emblavée moins les superficies reconverties en fourrage sec",,,,,,,,,,,,
