0,1,2,3,4,5,6,7,8
,Deglet nour Dattes fines,,Ghers  et analogues,,Degla Beida et,,Ensemble palmier dattier,
WILAYA,,,Dattes molles,,analogues Dattes séches,,,
,Production,Rdt,Production,Rdt,Production,Rdt,Production,Rdt
,qx,kg/arbre,qx,kg/arbre,qx,kg/arbre,qx,kg/arbre
1 ADRAR,0,"0,0",0,"0,0",937 603,"33,1",937 603,"33,1"
3 LAGHOUAT,4 125,"44,6",5 680,"44,6",4 963,"43,4",14 768,"44,2"
5 BATNA,6 270,"75,6",3 990,"53,5",5 525,"63,0",15 785,"64,4"
7 BISKRA,2 800 001,"114,1",540 000,"101,5",1 040 040,"97,1",4 380 041,"108,0"
8 BECHAR,0,"0,0",253 807,"0,0",66 193,"37,9",320 000,"32,8"
11 TAMANRASSET,0,"0,0",65 756,"27,0",43 911,"0,0",109 667,"26,4"
12 TEBESSA,10 900,"52,5",11 700,"63,8",0,"0,0",22 600,"57,8"
17 DJELFA,5 020,"79,7",1 500,"65,2",540,"67,5",7 060,"75,1"
28 M'SILA,0,"0,0",0,"0,0",0,"0,0",0,"0,0"
30 OUARGLA,858 891,"75,4",517 930,"58,8",81 110,"59,2",1 457 930,"67,6"
32 EL-BAYADH,1 050,"50,0",3 800,"47,5",5 400,"0,0",10 250,"47,2"
33 ILLIZI,736,"31,2",9 371,"33,5",5 608,"24,7",15 715,"29,6"
37 TINDOUF,0,"0,0",8 851,"26,7",349,"0,0",9 200,"26,7"
39 EL-OUED,1 738 600,"72,0",478 500,"68,0",407 300,"66,0",2 624 400,"70,3"
40 KHENCHELA,22 780,"51,4",52 480,"84,5",5 680,"50,1",80 940,"68,7"
45 NAAMA,289,"0,0",4 339,"47,2",0,"0,0",4 628,"47,3"
47 GHARDAIA,221 200,"47,6",91 990,"52,4",261 810,"54,1",575 000,"51,2"
TOTAL ALGERIE,5 669 862,"86,3",2 049 694,"58,2",2 866 032,"51,6",10 585 587,"67,7"
