0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2019
VIII-POMMES DE TERRE (de primeurs et de saison) (1/2),,,,,,
,,PRIMEURS,,,SAISON,
WILAYA,Superficie,Production,Rendement,Superficie,Production,Rendement
,(ha),(QX),qx/ha,(ha),(QX),qx/ha
1 ADRAR,411,80 204,"195,0",0,0,0
2 CHLEF,0,0,0,2 164,722 260,"333,8"
3 LAGHOUAT,0,0,0,2 880,820 100,"284,8"
4 O.E.BOUAGHI,0,0,0,99,32 300,"326,3"
5 BATNA,0,0,0,919,282 645,"307,6"
6 BEJAIA,30,5 970,"197,4",119,26 375,"222,6"
7 BISKRA,108,34 200,"316,7",0,0,0
8 BECHAR,0,0,0,97,19 400,"200,0"
9 BLIDA,0,0,0,570,275 220,"482,8"
10 BOUIRA,0,0,0,3 200,1 101 510,"344,3"
11 TAMANRASSET,0,0,0,19,3 132,"169,3"
12 TEBESSA,0,0,0,3 350,1 598 300,"477,1"
13 TLEMCEN,85,22 100,"260,0",3 303,1 167 000,"353,3"
14 TIARET,0,0,0,5 220,2 010 942,"385,2"
15 TIZI-OUZOU,95,21 115,"222,3",348,112 045,"322,0"
16 ALGER,330,101 920,"309,3",663,294 030,"443,3"
17 DJELFA,0,0,0,4 063,1 029 800,"253,5"
18 JIJEL,190,46 816,"246,4",400,132 191,"330,6"
19 SETIF,0,0,0,1 415,398 451,"281,5"
20 SAIDA,0,0,0,2 972,932 310,"313,7"
21 SKIKDA,1 020,228 700,"224,2",3 750,1 138 110,"303,5"
22 S.B.ABBES,0,0,0,1 926,515 367,"267,6"
23 ANNABA,5,1 075,"215,0",312,119 895,"384,9"
24 GUELMA,0,0,0,142,43 075,"302,4"
25 CONSTANTINE,0,0,0,38,12 050,"321,3"
26 MEDEA,0,0,0,1 380,384 410,"278,6"
27 MOSTAGANEM,675,205 250,"304,1",11 764,4 102 360,"348,7"
28 M'SILA,0,0,0,505,159 400,"315,6"
29 MASCARA,0,0,0,7 709,2 360 400,"306,2"
30 OUARGLA,7,1 050,"150,0",53,15 950,"300,9"
31 ORAN,7,1 963,"270,7",142,35 290,"248,5"
32 EL-BAYADH,0,0,0,1 252,389 960,"311,5"
33 ILLIZI,3,417,"150,0",0,0,0
34 B.B.ARRERIDJ,0,0,0,61,16 175,"265,2"
35 BOUMERDES,819,217 460,"265,5",1 406,481 647,"342,6"
36 EL-TARF,123,26 950,"220,0",367,152 650,"415,9"
37 TINDOUF,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,140,36 905,"264,6"
39 EL-OUED,0,0,0,10 000,3 500 000,"350,0"
40 KHENCHELA,0,0,0,79,20 600,"262,4"
41 SOUK-AHRAS,0,0,0,146,39 420,"270,0"
42 TIPAZA,607,181 684,"299,3",484,174 419,"360,4"
43 MILA,0,0,0,940,397 050,"422,4"
44 AIN-DEFLA,0,0,0,9 417,3 614 900,"383,9"
45 NAAMA,0,0,0,206,49 040,"238,1"
46 A.TEMOUCHENT,33,9 100,"275,8",141,43 245,"306,7"
47 GHARDAIA,0,0,0,0,0,0
48 RELIZANE,0,0,0,1 176,359 660,"305,8"
TOTAL ALGERIE,4 547,1 185 973,"260,8",85 333,29 119 989,"341,2"
