0,1,2,3,4,5,6,7
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,SERIE B 2016
VIII-ANIMAUX D'ELEVAGE (4/4),,,,,,,
,,,E S P E C E     C H E V A L I N E,,,ESPECE,ESPECE
WILAYA,Adultes,,Jeunes  -2ans,TOTAL,,MULASSIERE,ASINE
1 ADRAR,,0,0,,0,0,9 170
2 CHLEF,,507,291,,798,2 387,3 393
3 LAGHOUAT,,3 005,1 480,,4 485,359,3 518
4 O.E.BOUAGHI,,618,95,,713,82,1 488
5 BATNA,,437,461,,898,303,1 294
6 BEJAIA,,69,8,,77,122,1 601
7 BISKRA,,252,84,,336,90,484
8 BECHAR,,46,4,,50,27,72
9 BLIDA,,377,196,,573,51,294
10 BOUIRA,,201,52,,253,533,1 932
11 TAMANRASSET,,0,0,,0,0,0
12 TEBESSA,,318,109,,427,0,0
13 TLEMCEN,,820,240,,1 060,925,8 435
14 TIARET,,3 991,1 673,,5 664,266,1 807
15 TIZI-OUZOU,,120,9,,129,139,3 512
16 ALGER,,810,0,,810,7,62
17 DJELFA,,810,160,,970,190,780
18 JIJEL,,57,4,,61,97,939
19 SETIF,,784,515,,1 299,928,6 424
20 SAIDA,,1 262,832,,2 094,571,1 156
21 SKIKDA,,517,204,,721,1 476,8 182
22 S.B.ABBES,,1 753,1 191,,2 944,485,2 804
23 ANNABA,,251,132,,383,520,1 750
24 GUELMA,,414,236,,650,651,2 364
25 CONSTANTINE,,215,73,,288,60,260
26 MEDEA,,371,131,,502,281,3 011
27 MOSTAGANEM,,1 726,519,,2 245,1 600,8 575
28 M'SILA,,920,280,,1 200,250,1 800
29 MASCARA,,2 580,970,,3 550,1 870,4 310
30 OUARGLA,,370,31,,401,512,4 308
31 ORAN,,450,63,,513,5,234
32 EL-BAYADH,,1 265,501,,1 766,254,1 670
33 ILLIZI,,0,0,,0,0,0
34 B.B.ARRERIDJ,,1 149,218,,1 367,342,3 447
35 BOUMERDES,,179,44,,223,90,663
36 EL-TARF,,407,169,,576,2,2 341
37 TINDOUF,,0,0,,0,0,0
38 TISSEMSILT,,320,60,,380,79,1 015
39 EL-OUED,,588,91,,679,586,2 514
40 KHENCHELA,,258,95,,353,110,551
41 SOUK-AHRAS,,378,165,,543,966,3 392
42 TIPAZA,,38,12,,50,0,85
43 MILA,,207,84,,291,72,1 331
44 AIN-DEFLA,,368,117,,485,875,3 746
45 NAAMA,,1 045,269,,1 314,753,2 370
46 A.TEMOUCHENT,,627,83,,710,207,550
47 GHARDAIA,,327,113,,440,0,410
48 RELIZANE,,1 418,302,,1 720,860,4 802
TOTAL ALGERIE,,32 625,12 366,,44 991,19 983,112 846
