0,1,2,3,4
WILAYA,Deglet nour (Dattes,Ghers  et Analogues,Degla Beida et Analogues,Total  Palmier-dattier
,fines),(Dattes molles),(Dattes  sèches),
,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre
1 ADRAR,0,0,2 796 087,2 796 087
3 LAGHOUAT,7 698,10 473,9 368,27 539
5 BATNA,8 298,7 453,9 221,24 972
7 BISKRA,2 610 000,551 960,1 094 700,4 256 660
8 BECHAR,0,813 096,182 230,995 326
11 TAMANRASSET,0,0,643 140,643 140
12 TEBESSA,20 750,18 350,0,39 100
17 DJELFA,6 300,2 200,800,9 300
28 M'SILA,0,0,0,0
30 OUARGLA,1 154 029,890 562,141 801,2 186 392
32 EL-BAYADH,2 100,8 000,11 600,21 700
33 ILLIZI,2 362,27 970,22 675,53 007
37 TINDOUF,0,34 249,1 306,35 555
39 EL-OUED,2 449 200,716 600,624 200,3 790 000
40 KHENCHELA,44 300,62 100,11 342,117 742
45 NAAMA,348,8 419,0,8 767
47 GHARDAIA,467 371,178 622,486 108,1 132 101
TOTAL ALGERIE,6 772 756,3 330 054,6 034 578,16 137 388
