0,1,2,3,4,5,6,7,8,9
,,POMMES DE TERRE,,,TOMATES,,,POIVRONS,
WILAYA,superficie,production,Rdt,superficie,production,Rdt,superficie,Production,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,,qx/ha
1 ADRAR,451,87 745,"194,6",1 302,315 915,"242,6",8,3 001,"374,6"
2 CHLEF,0,0,0,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,0,0,0,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0,,,0
6 BEJAIA,35,5 770,"164,9",19,14 660,"765,5",15,3 939,"262,1"
7 BISKRA,100,0,"0,0",2 247,3 118 400,"1 387,8",878,621 500,"707,9"
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,0,0,0,0,270,"1 500,0",4,2 075,"513,6"
10 BOUIRA,0,0,0,0,0,0,0,0,0
11 TAMANRASSET,4,599,"149,8",31,7 719,"248,0",1,398,"310,5"
12 TEBESSA,0,0,0,0,0,0,0,0,0
13 TLEMCEN,85,21 300,"250,6",40,10 000,"250,0",0,0,0
14 TIARET,0,0,0,0,0,0,0,0,0
15 TIZI-OUZOU,97,17 180,"177,1",3,0,"0,0",1,0,"0,0"
16 ALGER,252,77 715,"308,4",161,105 476,"655,9",45,14 389,"321,6"
17 DJELFA,0,0,0,0,0,0,0,0,"1,0"
18 JIJEL,136,26 980,"198,4",0,48,"1 200,0",0,84,"700,0"
19 SETIF,0,0,0,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0,0,0,0
21 SKIKDA,1 000,200 000,"200,0",0,30,"750,0",0,0,0
22 S.B.ABBES,0,0,0,0,0,0,0,0,0
23 ANNABA,0,0,0,0,0,0,8,1 042,"130,3"
24 GUELMA,0,0,0,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0,0,0,0
27 MOSTAGANEM,550,115 500,"210,0",0,0,0,0,0,0
28 M'SILA,0,0,0,65,78 000,"1 200,0",20,13 000,"650,0"
29 MASCARA,0,0,0,0,0,0,0,0,0
30 OUARGLA,6,1 325,"230,4",40,10 595,"266,9",2,346,"172,8"
31 ORAN,1,280,"280,0",0,180,"500,0",0,75,"375,0"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,2,524,"288,0",0,63,"208,3"
34 B.B.ARRERIDJ,0,0,0,0,90,"600,0",0,63,"252,0"
35 BOUMERDES,948,260 150,"274,4",2,1 200,"800,0",1,812,"649,6"
36 EL-TARF,120,35 400,"295,0",0,0,0,0,0,0
37 TINDOUF,0,0,0,4,1 600,"400,0",0,0,0
38 TISSEMSILT,0,0,0,0,0,0,0,0,0
39 EL-OUED,0,0,0,70,70 000,"1 000,0",50,25 000,"500,0"
40 KHENCHELA,0,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,,,0,,,0
42 TIPAZA,765,208 490,"272,5",444,429 768,"968,3",140,63 934,"456,2"
43 MILA,0,0,0,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,24,6 620,"275,8",39,16 600,"425,6",0,0,0
47 GHARDAIA,14,4 200,"300,0",3,1 024,"400,0",1,384,"400,0"
48 RELIZANE,0,0,0,0,0,0,0,0,0
TOTAL ALGERIE,4 588,1 069 254,"233,1",4 472,4 182 099,"935,2",1 175,750 103,"638,3"
