0,1,2,3,4,5,6
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,SERIE B 2016
IV-CULTURES MARAICHERES DITES DE PRIMEURS (4/4),,,,,,
,,PETITS POIS,,,ENSEMBLE,
WILAYA,superficie,production,Rendement,superficie,production,Rendement
,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,175,9 895,"56,5",1 230,248 333,"201,9"
2 CHLEF,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0
4 O.E.BOUAGHI,,,0,0,0,0
5 BATNA,0,0,0,0,0,0
6 BEJAIA,136,4 305,"31,7",223,31 060,"139,4"
7 BISKRA,1 295,133 350,"103,0",7 325,5 365 507,"732,5"
8 BECHAR,0,0,0,0,0,0
9 BLIDA,43,2 130,"49,5",275,48 052,"174,7"
10 BOUIRA,0,0,0,0,0,0
11 TAMANRASSET,0,0,0,15,8 885,"605,7"
12 TEBESSA,0,0,0,0,0,0
13 TLEMCEN,674,13 030,"19,3",854,51 830,"60,7"
14 TIARET,,,0,0,0,0
15 TIZI-OUZOU,0,0,0,125,16 980,"135,6"
16 ALGER,174,10 655,"61,4",950,231 307,"243,4"
17 DJELFA,0,0,0,0,0,0
18 JIJEL,158,8 051,"51,1",512,70 926,"138,5"
19 SETIF,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0
21 SKIKDA,302,14 090,"46,7",1 682,240 829,"143,2"
22 S.B.ABBES,0,0,0,0,0,0
23 ANNABA,0,0,0,0,0,0
24 GUELMA,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0
27 MOSTAGANEM,590,20 848,"35,3",1 224,103 258,"84,4"
28 M'SILA,0,0,0,146,142 700,"977,4"
29 MASCARA,0,0,0,0,0,0
30 OUARGLA,12,1 433,"124,6",162,38 920,"239,6"
31 ORAN,93,2 575,"27,7",149,20 993,"140,8"
32 EL-BAYADH,0,0,0,0,0,0
33 ILLIZI,0,0,0,2,731,"300,8"
34 B.B.ARRERIDJ,0,0,0,1,185,"370,0"
35 BOUMERDES,451,19 692,"43,7",1 576,323 897,"205,5"
36 EL-TARF,240,12 000,"50,0",603,68 556,"113,8"
37 TINDOUF,0,0,0,3,1 500,"500,0"
38 TISSEMSILT,0,0,0,0,0,0
39 EL-OUED,0,0,0,208,143 240,"687,1"
40 KHENCHELA,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,0,0,0
42 TIPAZA,781,55 160,"70,6",2 655,833 624,"314,0"
43 MILA,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0
46 A.TEMOUCHENT,351,12 855,"36,6",589,75 655,"128,5"
47 GHARDAIA,0,0,0,4,1 760,"400,0"
48 RELIZANE,0,0,0,0,0,0
TOTAL ALGERIE,5 474,320 069,"58,5",20 514,8 068 727,"393,3"
