0,1,2,3,4,5
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,SERIE B 2018
VIII-ANIMAUX D'ELEVAGE (4/4),,,,,
WILAYA,,E S P E C E     C H E V A L I N E,,ESPECE MULASSIERE,ESPECE  ASINE
,Adultes,Jeunes - 2 ans,TOTAL,,
1 ADRAR,0,0,0,0,5 245
2 CHLEF,458,262,720,2 641,3 643
3 LAGHOUAT,3 043,1 473,4 516,352,3 482
4 O.E.BOUAGHI,611,148,759,43,983
5 BATNA,696,364,1 060,261,539
6 BEJAIA,75,9,84,110,1 216
7 BISKRA,288,91,379,57,565
8 BECHAR,59,4,63,26,78
9 BLIDA,366,297,663,0,0
10 BOUIRA,243,72,315,273,2 012
11 TAMANRASSET,0,0,0,0,0
12 TEBESSA,318,109,427,0,0
13 TLEMCEN,1 650,450,2 100,820,3 280
14 TIARET,4 448,1 867,6 315,303,2 105
15 TIZI-OUZOU,140,23,163,129,3 078
16 ALGER,756,108,864,20,59
17 DJELFA,830,210,1 040,170,570
18 JIJEL,55,4,59,115,732
19 SETIF,992,364,1 356,844,5 939
20 SAIDA,1 455,885,2 340,530,1 180
21 SKIKDA,519,206,725,1 483,8 222
22 S.B.ABBES,1 781,1 319,3 100,482,2 804
23 ANNABA,196,114,310,322,1 016
24 GUELMA,423,261,684,606,2 072
25 CONSTANTINE,382,106,488,60,255
26 MEDEA,579,161,740,317,2 903
27 MOSTAGANEM,0,0,0,0,0
28 M'SILA,1 530,220,1 750,250,1 800
29 MASCARA,2 600,910,3 510,1 850,4 140
30 OUARGLA,373,32,405,536,4 137
31 ORAN,499,36,535,25,199
32 EL-BAYADH,1 284,346,1 630,195,1 330
33 ILLIZI,0,0,0,0,0
34 B.B.ARRERIDJ,1 100,293,1 393,297,2 414
35 BOUMERDES,257,56,313,92,622
36 EL-TARF,382,272,654,35,1 651
37 TINDOUF,0,0,0,0,0
38 TISSEMSILT,317,60,377,106,1 319
39 EL-OUED,612,92,704,534,2 338
40 KHENCHELA,172,76,248,39,562
41 SOUK-AHRAS,414,190,604,764,2 557
42 TIPAZA,161,14,175,0,0
43 MILA,475,233,708,51,857
44 AIN-DEFLA,384,112,496,602,2 752
45 NAAMA,1 054,286,1 340,768,2 417
46 A.TEMOUCHENT,692,177,869,173,558
47 GHARDAIA,360,120,480,0,422
48 RELIZANE,711,184,895,527,1 998
TOTAL ALGERIE,33 740,12 616,46 356,16 808,84 051
