0,1,2,3,4,5,6,7,8
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,SERIE B 2016
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (4/7),,,,,,,,
,,Nèfles,,,,Pêches,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,98,90,6 230,"69,2",107,106,11 700,"110,9"
3 LAGHOUAT,67,67,2 720,"40,6",270,270,8 100,"30,0"
4 O.E.BOUAGHI,0,0,0,"0,0",32,20,309,"15,5"
5 BATNA,6,5,380,"76,0",255,233,23 800,"102,0"
6 BEJAIA,213,207,13 965,"67,5",126,121,7 670,"63,6"
7 BISKRA,44,44,3 760,"85,6",33,33,880,"27,1"
8 BECHAR,0,0,0,"0,0",10,7,425,"60,7"
9 BLIDA,424,416,45 866,"110,1",3 470,3 125,415 340,"132,9"
10 BOUIRA,95,87,2 514,"28,9",115,93,2 745,"29,7"
11 TAMANRASSET,13,10,116,"11,6",84,50,5 534,"110,5"
12 TEBESSA,0,0,0,"0,0",62,60,1 380,"23,0"
13 TLEMCEN,34,33,2 970,"90,0",2 169,1 948,194 800,"100,0"
14 TIARET,0,0,0,"0,0",944,238,7 140,"30,0"
15 TIZI-OUZOU,32,32,4 225,"130,4",148,131,21 414,"163,8"
16 ALGER,387,364,41 395,"113,7",2 046,1 711,128 060,"74,8"
17 DJELFA,0,0,0,"0,0",568,320,64 750,"202,3"
18 JIJEL,30,28,1 817,"65,6",102,97,5 985,"61,8"
19 SETIF,30,29,1 034,"36,1",150,146,5 298,"36,3"
20 SAIDA,0,0,0,"0,0",34,34,1 031,"30,3"
21 SKIKDA,96,77,10 380,"134,2",902,814,140 120,"172,2"
22 S.B.ABBES,1,1,30,"30,0",838,668,37 205,"55,7"
23 ANNABA,90,75,9 840,"131,2",175,106,13 065,"123,3"
24 GUELMA,4,3,445,"148,3",125,117,14 096,"120,6"
25 CONSTANTINE,4,4,160,"40,0",42,36,2 896,"80,4"
26 MEDEA,0,0,0,"0,0",83,58,2 440,"42,1"
27 MOSTAGANEM,147,121,10 935,"90,4",820,797,55 435,"69,6"
28 M'SILA,0,0,0,"0,0",620,598,35 880,"60,0"
29 MASCARA,13,13,820,"63,1",381,246,15 175,"61,8"
30 OUARGLA,0,0,0,"0,0",5,4,41,"10,5"
31 ORAN,2,2,38,"25,0",790,468,12 615,"27,0"
32 EL-BAYADH,1,0,0,"0,0",135,129,5 683,"44,0"
33 ILLIZI,0,0,0,"0,0",1,1,55,"0,0"
34 B.B.ARRERIDJ,22,22,684,"31,1",124,124,2 973,"24,1"
35 BOUMERDES,44,44,5 720,"130,0",713,713,85 560,"120,0"
36 EL-TARF,28,27,1 950,"72,2",709,657,65 000,"98,9"
37 TINDOUF,0,0,0,"0,0",0,0,0,"0,0"
38 TISSEMSILT,51,51,816,"16,0",433,433,12 990,"30,0"
39 EL-OUED,0,0,0,"0,0",0,0,0,"0,0"
40 KHENCHELA,3,3,105,"0,0",440,317,9 787,"30,9"
41 SOUK-AHRAS,1,1,250,"0,0",227,225,13 950,"62,0"
42 TIPAZA,392,375,65 700,"175,4",1 536,1 305,193 025,"147,9"
43 MILA,5,5,145,"29,0",60,58,3 094,"53,3"
44 AIN-DEFLA,7,7,420,"60,0",215,215,10 750,"50,0"
45 NAAMA,0,0,0,"0,0",518,190,4 017,"21,2"
46 A.TEMOUCHENT,0,0,0,"0,0",903,903,36 120,"40,0"
47 GHARDAIA,29,28,1 036,"37,0",18,15,570,"38,0"
48 RELIZANE,28,28,2 376,"86,4",251,251,15 030,"60,0"
TOTAL ALGERIE,2 439,2 298,238 841,"104,0",21 785,18 187,1 693 931,"93,1"
