0,1,2,3,4,5,6
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,SERIE B 2017
IV-CULTURES MARAICHERES DITES DE PRIMEURS (3/4),,,,,,
,,PIMENTS,,,COURGETTES,
WILAYA,superficie,production,Rendement,superficie,production,Rendement
,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,82,11 415,"138,9",29,3 292,"113,7"
2 CHLEF,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0
4 O.E.BOUAGHI,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0
6 BEJAIA,10,2 024,"203,8",7,1 246,"175,0"
7 BISKRA,1 370,990 730,"723,2",259,193 310,"746,4"
8 BECHAR,0,0,0,0,0,0
9 BLIDA,0,100,"833,3",0,0,0
10 BOUIRA,0,0,0,0,0,0
11 TAMANRASSET,1,282,"258,7",2,367,"244,7"
12 TEBESSA,0,0,0,0,0,0
13 TLEMCEN,0,0,0,30,6 000,"200,0"
14 TIARET,0,0,0,0,0,0
15 TIZI-OUZOU,10,0,"0,0",0,0,"0,0"
16 ALGER,20,6 314,"312,0",130,45 068,"347,1"
17 DJELFA,0,0,0,0,0,0
18 JIJEL,0,83,"693,3",52,10 042,"193,4"
19 SETIF,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0
21 SKIKDA,0,0,0,264,39 110,"148,1"
22 S.B.ABBES,0,0,0,0,0,0
23 ANNABA,6,886,"147,7",8,1 200,"150,0"
24 GUELMA,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0
27 MOSTAGANEM,0,0,0,0,0,0
28 M'SILA,38,26 600,"700,0",10,7 500,"750,0"
29 MASCARA,0,0,0,0,0,0
30 OUARGLA,49,2 934,"60,3",25,3 004,"121,1"
31 ORAN,0,48,"129,7",31,3 505,"114,2"
32 EL-BAYADH,0,0,0,0,0,0
33 ILLIZI,0,72,"180,3",0,109,"259,4"
34 B.B.ARRERIDJ,0,63,"252,0",0,0,0
35 BOUMERDES,2,780,"520,0",0,0,0
36 EL-TARF,0,0,0,55,4 485,"81,5"
37 TINDOUF,2,460,"230,0",2,640,"320,0"
38 TISSEMSILT,0,0,0,0,0,0
39 EL-OUED,90,45 000,"500,0",10,10 000,"1 000,0"
40 KHENCHELA,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,0,0,0
42 TIPAZA,91,38 620,"426,3",0,0,0
43 MILA,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0
46 A.TEMOUCHENT,0,0,0,83,18 195,"219,2"
47 GHARDAIA,1,512,"400,0",1,488,"403,3"
48 RELIZANE,0,0,0,0,0,0
TOTAL ALGERIE,1 772,1 126 924,"635,8",998,347 561,"348,4"
