wilaya_code,year,season,avg_temperature,avg_rainfall,avg_humidity,avg_ndvi
46,2019,hiver,13.925,1.347,71.092,0.381
46,2019,été,24.61,0.31,68.332,0.162
47,2017,hiver,11.151,0.077,53.683,0.136
47,2017,été,34.382,0.077,17.481,0.12
48,2017,hiver,11.952,1.282,66.331,0.446
48,2017,été,28.995,0.258,40.786,0.151
49,2017,hiver,12.162,0.045,54.817,0.203
49,2017,été,35.586,0.059,20.667,0.154
49,2018,hiver,11.197,0.102,57.353,0.203
49,2018,été,32.928,0.142,27.384,0.166
49,2019,hiver,11.059,0.103,57.472,0.21
49,2019,été,34.279,0.116,23.628,0.152
50,2016,hiver,11.149,0.004,47.036,0.143
50,2016,été,33.786,0.01,17.436,0.125
50,2019,hiver,10.232,0.018,47.993,0.142
50,2019,été,34.601,0.022,15.22,0.125
51,2017,hiver,11.193,0.097,58.402,0.147
51,2017,été,34.191,0.076,23.167,0.117
51,2018,hiver,10.332,0.164,60.74,0.139
51,2018,été,31.47,0.199,29.736,0.115
51,2019,hiver,10.155,0.178,60.43,0.154
51,2019,été,33.064,0.212,25.152,0.113
52,2019,hiver,16.567,0.0,17.175,0.102
52,2019,été,36.283,0.017,20.197,0.079
53,2019,hiver,10.722,0.001,40.471,0.099
53,2019,été,34.597,0.169,14.385,0.085
56,2017,hiver,12.807,0.017,28.53,0.094
56,2017,été,30.262,0.001,15.63,0.087
56,2019,hiver,10.27,0.0,28.851,0.097
56,2019,été,29.985,0.225,19.954,0.086
57,2016,hiver,15.341,0.005,34.302,0.112
57,2016,été,36.937,0.001,13.658,0.09
57,2018,hiver,14.473,0.029,35.63,0.118
57,2018,été,37.18,0.02,13.64,0.104
57,2019,hiver,13.476,0.0,31.409,0.114
57,2019,été,37.214,0.007,11.689,0.098
58,2017,hiver,19.217,0.003,18.114,0.097
58,2017,été,35.179,0.033,22.276,0.077
58,2019,hiver,17.059,0.0,16.737,0.103
58,2019,été,35.109,0.302,26.365,0.07
