"Orge,Avoine, Seigle en vert",125 576,14 252 989,"113,5",198 207,16 609 557,"83,8",58,17,
Autres,37 116,8 366 798,"225,4",38 279,9 048 938,"236,4",3,8,
Agrumes,58 296,12 031 973,"206,4",63 744,15 834 931,"248,4",9,32,
Oranges,41 953,8 927 635,"212,8",46 081,11 995 351,"260,3",10,34,
Clémentines,10 143,1 918 282,"189,1",11 354,2 487 839,"219,1",12,30,16
Mandarines,2 204,423 366,"192,0",2 243,464 659,"207,1",,"10
ST",8
Citrons,3 909,743 641,"190,3",3 994,870 166,"217,9",1224,17,15
Pomélos,86,19 050,"220,8",73,16 915,"233,3",-16,-11,
,,,,,,,,,22005632402
Vignobles,66 264,5 709 718,"86,2",61 676,5 498 329,"89,1",-7,-4,
Vigne de cuve,23 577,721 694,"30,6",20 294,460 933,"22,7",-14,-36,
Vigne de table,42 656,4 987 524,"116,9",41 382,5 037 396,"121,7","7737
-3",-1,
Vigne à raisin sec,31,500,"16,4",0,0,0,-100,"0-
-100",-100
"Espèces à Noyaux et / ou
à Pépins",205 689,15 426 232,"75,0",177 681,16 460 532,"92,6",-14,7,
Abricots,38 239,2 567 711,"67,1",30 861,2 092 048,"67,8",-19,-19,1
Amandes,39 690,660 946,"16,7",35 380,724 127,"20,5",-11,10,
Caroubes,809,32 567,"40,3",732,35 265,"48,1","27927
-9",,20
Cerises,2 860,69 032,"24,1",3 432,112 374,"32,7",20,63,
Coings,1 792,122 305,"68,2",1617,127 466,"78,8",-10,,16
Grenades,9 103,840 972,"92,4",9 192,947 521,"103,1",1,"13
208842225722","12
-22362232337"
Nèfles,2 291,238 261,"104,0",2 252,296 208,"131,5",-2,,
Pêches,18 187,1 693 861,"93,1",16 675,2017 557,"121,0",-8,19,30
Poires,24 457,2 119 428,"86,7",20 240,2 234 673,"110,4",-17,,
Pommes,40 553,5 033 027,"124,1",32 989,5 588 297,"169,4",-19,11,
Prunes,15 805,1 025 878,"64,9",12 795,1 130 855,"88,4",-19,10,
Autres,11 904,1 022 244,"85,9",11 516,1 154 140,"100,2",-3,13,17
,"Nbre
d'arbres en
rapport","Production
(qx)","Rdt
kgs/arbre","Nbre
d'arbres en
rapport","Production
(qx)","Rdt
kgs/arbre","Nbre
d'arbres
en
rapport","Production
(qx)","Rdt
kgs/arbre"
Palmiers dattiers,15 733 624,10 295 957,"65,4",16 508 912,11 360 249,"68,8",5,10,
,"d'arbres en
rapport",(qx),kgs/arbre,"d'arbres en
rapport",(qx),kgs/arbre,"d'arbres
en
rapport",(qx),kgs/arbre
Palmiers dattiers,15 733 624,10 295 957,"65,4",16 508 912,11 360 249,"68,8",5,10,
Deglet nour,6 498 295,5 533 596,"85,2",6 987 860,6 139 055,"87,9",8,11,5324
Dattes molles,3 911 117,2013 777,"51,5",3 430 827,2 201 706,"64,2",-12,"9
2702",5324
Dattes séches,5 324 212,2 748 583,"51,6",6 090 225,3 019 488,"49,6",14,10,-4
Oliviers,35 506 041,6 969 615,"19,6",43 474 114,8 687 541,"20,0","22
22","22
25",27
Figuiers,4 948 112,1 317 980,"26,6",4 855 726,1 140 917,"23,5",-2,-13,-12
SUPERFICIES WILAYA,DES TERRES Cultures,UTILISEES herbacées,PAR Terres au,L'AGRICULTURE repos,"(1/2)
Prairies",naturelles,Vignes,
,ha,%,ha,%,ha,%,ha,%
1 ADRAR,24 702,"4,3",1948,"0,3",0,"0,0",0,"0,0"
2 CHLEF,134 841,"51,4",50 988,"19,4",845,"0,3",1 063,"0,4"
3 LAGHOUAT,44 017,"2,5",27 268,"1,5",0,"0,0",373,"0,0
040000"
4 O.E.BOUAGHI,234 118,"45,4",122 962,"23,9",670,"0,1",2,"0,0"
5 BATNA,189 135,"25,4",193 394,"26,0",17 043,"2,3",91,"0,0"
6 BEJAIA,14 464,"8,8",41 708,"25,3",1 380,"0,8",410,"0,2"
7 BISKRA,61 484,"3,7",72 530,"4,4",0,"0,0",289,"0,0"
