table_num,page,accuracy,whitespace,order,rows,columns,csv_file,excel_file
1,1,99.42,6.09,1,46,10,extracted_results_stream\table_001.csv,extracted_results_stream\table_001.xlsx
2,2,99.55,9.4,1,50,10,extracted_results_stream\table_002.csv,extracted_results_stream\table_002.xlsx
3,3,99.25,21.61,1,53,11,extracted_results_stream\table_003.csv,extracted_results_stream\table_003.xlsx
4,4,99.46,5.89,1,54,11,extracted_results_stream\table_004.csv,extracted_results_stream\table_004.xlsx
5,5,100.0,2.64,1,53,5,extracted_results_stream\table_005.csv,extracted_results_stream\table_005.xlsx
6,6,100.0,25.0,1,2,2,extracted_results_stream\table_006.csv,extracted_results_stream\table_006.xlsx
7,7,98.89,30.45,1,55,12,extracted_results_stream\table_007.csv,extracted_results_stream\table_007.xlsx
8,8,99.19,13.77,1,53,10,extracted_results_stream\table_008.csv,extracted_results_stream\table_008.xlsx
9,9,95.07,43.75,1,8,2,extracted_results_stream\table_009.csv,extracted_results_stream\table_009.xlsx
